id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
758,沙拉,近乎无物,美食,,nonsense_low,0-20,2,毫无关联,
643,负荆请罪,推挡,典故,,cross_category_low,0-30,7,二者不搭界,
687,害怕,起风了,感情,,nonsense_low,0-20,2,毫无关联,
266,卧冰求鲤,故事流传,典故,,hint_like_high,70-90,50,后者范围较广,
111,斗罗大陆,修炼,动漫,,hint_like_high,70-90,70,包含关系,
150,策略,博弈思考,游戏,,hint_like_high,70-90,50,关联度中等,
234,相声,包袱连连,文化,,hint_like_high,70-90,80,关联度较高,
100,麻雀虽小,不缺要素,歇后语,,hint_like_high,70-90,80,内容接近,
547,里程碑,太阳系,工作,,cross_category_low,0-30,7,二者不搭界,
511,月食,流星雨,宇宙,,same_category_mid,60-70,40,都是宇宙相关，但关联度不高,
756,元宵,绿垄,节日,,nonsense_low,0-20,2,毫无关联,
521,惬意,草船借箭,感情,,cross_category_low,0-30,20,语义不同,
512,懊悔,自豪,感情,,same_category_mid,60-70,30,都是情感，但关联度不高,
545,晚睡,小行星,生活,,cross_category_low,0-30,5,二者不搭界,
657,肉夹馍,越剧,美食,,cross_category_low,0-30,7,二者不搭界,
774,小暑,武林,节日,,nonsense_low,0-20,2,毫无关联,
505,狐妖小红娘,银魂,动漫,,same_category_mid,60-70,50,关联度中等,
190,秧歌,热闹队伍,文化,,hint_like_high,70-90,60,有关联但不高,
351,面条,三明治,美食,,same_category_mid,60-70,30,都是吃的，仅此而已,
338,天王星,海王星,宇宙,,same_category_mid,60-70,70,关联度较高,
432,对牛弹琴,掩耳盗铃,成语,,same_category_mid,60-70,30,都是成语，但关联度不高,
664,拉怪,伸手,游戏,,cross_category_low,0-30,7,二者不搭界,
510,越剧,纸鸢,文化,,same_category_mid,60-70,40,都是历史文化，但关联度不高,
755,手柄,大禹,游戏,,nonsense_low,0-20,2,毫无关联,
119,重阳,菊花酒,节日,,hint_like_high,70-90,70,重阳节有喝菊花酒的习俗,
431,相柳,刑天,神话,,same_category_mid,60-70,40,都是神话，但关联度不高,
307,大禹,盘瓠,神话,,same_category_mid,60-70,30,二者关联度低,
227,计算,编码开发,学科,,hint_like_high,70-90,60,关联度中等,
258,幽游白书,战斗,动漫,,hint_like_high,70-90,50,后者范围较广,
683,果汁,判定,美食,,nonsense_low,0-20,2,毫无关联,
269,刺客伍六七,任务,动漫,,hint_like_high,70-90,50,后者范围较广,
443,猎魔人,机械狼,狼人杀,,same_category_mid,60-70,70,都为狼人杀，范围接近,
124,教育,师生,学科,,hint_like_high,70-90,50,教育包含师生但后者只是前者的一个方面,
711,听课,守岁,学习,,nonsense_low,0-20,2,毫无关联,
705,释怀,化形,情感,,nonsense_low,0-20,2,毫无关联,
421,草原,林间,风景,,same_category_mid,60-70,30,都是风景，但关联度不高,
712,父亲节,任务,节日,,nonsense_low,0-20,2,毫无关联,
557,守卫,午休,狼人杀,,cross_category_low,0-30,7,二者不搭界,
158,立冬,寒意重,节日,,hint_like_high,70-90,90,关联度较高,
610,稻香,网球王子,歌曲,,cross_category_low,0-30,7,二者不搭界,
5,陈奕迅,陈奕迅,歌手,,same_answer_exact,95-100,100,完全一样,
390,王安石,李时珍,人物,,same_category_mid,60-70,40,都是历史人物，但关联度不高,
145,班固,史书,人物,,hint_like_high,70-90,80,后者为事迹，但不单属于前者,
520,远程,离职,工作,,same_category_mid,60-70,40,都是工作，但关联度不高,
300,租车,托运,旅游,,same_category_mid,60-70,20,二者关联度低,
771,七夕,软糯,节日,,nonsense_low,0-20,2,毫无关联,
137,完璧归赵,巧辩,典故,,hint_like_high,70-90,20,关联度不高,
789,滥竽充数,复活,成语,,nonsense_low,0-20,2,毫无关联,
562,写作,石桥,学习,,cross_category_low,0-30,7,二者不搭界,
393,愤怒,烦躁,感情,,same_category_mid,60-70,30,语义不同,
713,霜降,侠客,节日,,nonsense_low,0-20,2,毫无关联,
333,毛遂自荐,单刀赴会,典故,,same_category_mid,60-70,20,关联度低,
169,计算,代码实现,学科,,hint_like_high,70-90,30,关联度不高,
