id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,灵笼,天空之城,动漫,,same_category_mid,60-70,50,关联度中等,gold_candidate_v26
2,鲛人,麒麟,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,gold_candidate_v26
3,青之驱魔师,青之驱魔师,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
4,牛排,牛排,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
5,入职,自检,工作,,same_category_mid,60-70,10,二者完全不搭界,gold_candidate_v26
6,收拾,收拾,生活,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
7,雪峰,樱花,风景,,same_category_mid,60-70,20,猜不到的,gold_candidate_v26
8,司马光,亲切感,人物,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
9,画江湖,早晨,动漫,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
10,不良人,不良人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
11,游戏王,农学,动漫,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
12,悬梁刺股,旋律,典故,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
13,羡慕,惊讶,感情,,same_category_mid,60-70,30,都是情感，但关联度不高,gold_candidate_v26
14,里程碑,里程碑,工作,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
15,排球少年,熬到很晚,动漫,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
16,关羽,武圣,,,near_synonym_high,77-87,82,人工锚点覆盖：历史称号,manual_gold_v26
17,陨石,暗能量,宇宙,,same_category_mid,60-70,20,关联度底,gold_candidate_v26
18,陨石,星球,宇宙,,same_category_mid,60-70,40,都是宇宙相关，但关联度不高,gold_candidate_v26
19,死神,全职高手,动漫,,same_category_mid,60-70,50,均为动漫，语义不同,gold_candidate_v26
20,海贼王,海贼王,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
21,汉堡,汉堡,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
22,丢垃圾,搬家,生活,,same_category_mid,60-70,20,语义不同,gold_candidate_v26
23,面条,面条,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
24,李清照,秦始皇,人物,,same_category_mid,60-70,40,都是历史人物，但关联度不高,gold_candidate_v26
25,彩陶,评弹,文化,,same_category_mid,60-70,30,种类虽相同，但词义相差甚远,gold_candidate_v26
