id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,猫咪,猫,锚点词,,alias_synonym_high,90-98,90,昵称与本词,
2,狗狗,狗,锚点词,,alias_synonym_high,90-98,90,昵称与本词,
3,小狗,狗,锚点词,,alias_synonym_high,88-96,90,口语近义,
4,小猫,猫,锚点词,,alias_synonym_high,88-96,90,口语近义,
5,诸葛亮,孔明,人物,,alias_synonym_high,90-98,99,同一人物别名,
6,李白,青莲居士,人物,,alias_synonym_high,85-95,90,人物号,
7,杜甫,少陵野老,人物,,alias_synonym_high,85-95,90,人物号,
8,孙悟空,齐天大圣,人物,,alias_synonym_high,90-98,99,同一角色称谓,
9,哪吒,三太子,神话,,alias_synonym_high,85-95,90,角色称谓,
10,饺子,水饺,美食,,near_synonym_high,85-95,90,同义常用词,
11,火锅,涮锅,美食,,near_synonym_high,90,90,近义称呼,
12,寿司,饭团,美食,,related_mid,60,60,相关但非严格同义,
13,披萨,比萨,美食,,near_synonym_high,90,90,异写同词,
14,手机,电话,锚点词,,related_mid,80,80,强相关,
15,电脑,计算机,锚点词,,near_synonym_high,70,70,常见近义,
16,天气,气候,锚点词,,related_mid,90,90,相关概念,
17,医生,大夫,锚点词,,near_synonym_high,99,99,职业近义,
18,老师,教师,锚点词,,near_synonym_high,90,90,职业近义,
19,学生,学员,锚点词,,related_mid,70,70,语义接近,
20,高兴,开心,锚点词,,near_synonym_high,80,80,情绪近义,
21,难过,伤心,锚点词,,near_synonym_high,80,80,情绪近义,
22,愤怒,生气,感情,,near_synonym_high,80,80,情绪近义,
23,孤独,孤寂,感情,,near_synonym_high,90,90,情绪近义,
24,跑步,奔跑,锚点词,,near_synonym_high,90,90,动作近义,
25,行走,走路,锚点词,,near_synonym_high,70,70,动作近义,
26,看见,看到,锚点词,,near_synonym_high,90,90,动词近义,
27,思考,思索,锚点词,,near_synonym_high,90,90,动词近义,
28,工作,上班,锚点词,,related_mid,80,80,场景相关,
29,学习,读书,锚点词,,related_mid,70,70,场景相关,
30,医院,诊所,锚点词,,related_mid,55-78,70,同域相关,
