id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,猫咪,猫,,,alias_synonym_high,85-95,90,人工锚点覆盖：昵称与本词,manual_gold_v26
2,猫,猫咪,,,alias_synonym_high,85-95,90,人工锚点覆盖：昵称与本词（反向）,manual_gold_v26
3,猫咪,刘备,,,hard_negative_low,5-15,10,人工锚点覆盖：无关对照,manual_gold_v26
4,刘备,猫咪,,,hard_negative_low,5-15,10,人工锚点覆盖：无关对照（反向）,manual_gold_v26
5,诸葛亮,孔明,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名,manual_gold_v26
6,孔明,诸葛亮,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名（反向）,manual_gold_v26
7,孙悟空,齐天大圣,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名,manual_gold_v26
8,齐天大圣,孙悟空,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名（反向）,manual_gold_v26
9,医生,大夫,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词,manual_gold_v26
10,大夫,医生,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词（反向）,manual_gold_v26
11,高兴,开心,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词,manual_gold_v26
12,开心,高兴,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词（反向）,manual_gold_v26
13,一鸣惊人,刮目相看,,,related_low,41-51,46,人工锚点覆盖：语义相关（成语语境）,manual_gold_v26
14,刮目相看,一鸣惊人,,,related_low,41-51,46,人工锚点覆盖：语义相关（反向）,manual_gold_v26
15,一鸣惊人,惊讶,,,related_low,27-37,32,人工锚点覆盖：近义语义（弱到中关联）,manual_gold_v26
16,惊讶,一鸣惊人,,,related_low,27-37,32,人工锚点覆盖：近义语义（弱到中关联，反向）,manual_gold_v26
17,一鸣惊人,厉害,,,related_low,29-39,34,人工锚点覆盖：近义语义（口语表达）,manual_gold_v26
18,厉害,一鸣惊人,,,related_low,29-39,34,人工锚点覆盖：近义语义（口语表达，反向）,manual_gold_v26
19,诸葛亮,卧龙,,,alias_synonym_high,80-90,85,人工锚点覆盖：历史别名,manual_gold_v26
20,卧龙,诸葛亮,,,alias_synonym_high,80-90,85,人工锚点覆盖：历史别名（反向）,manual_gold_v26
21,关羽,武圣,,,near_synonym_high,77-87,82,人工锚点覆盖：历史称号,manual_gold_v26
22,武圣,关羽,,,near_synonym_high,77-87,82,人工锚点覆盖：历史称号（反向）,manual_gold_v26
23,关羽,刮骨疗毒,,,related_mid,55-65,60,人工锚点覆盖：历史事件关联,manual_gold_v26
24,刮骨疗毒,关羽,,,related_mid,55-65,60,人工锚点覆盖：历史事件关联（反向）,manual_gold_v26
25,刮骨疗毒,华佗,,,related_mid,57-67,62,人工锚点覆盖：历史事件与人物,manual_gold_v26
26,华佗,刮骨疗毒,,,related_mid,57-67,62,人工锚点覆盖：历史事件与人物（反向）,manual_gold_v26
27,猫咪,你个der,,,hard_negative_low,5-15,10,人工锚点覆盖：完全无关,manual_gold_v26
28,你个der,猫咪,,,hard_negative_low,5-15,10,人工锚点覆盖：完全无关（反向）,manual_gold_v26
29,沙盒,沙盒,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
30,烧烤,烧烤,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
31,寿司,寿司,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
32,披萨,披萨,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
33,火影,火影,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
34,海贼王,海贼王,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
35,死神,死神,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
36,龙珠,龙珠,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
37,犬夜叉,犬夜叉,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
38,名侦探柯南,名侦探柯南,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
39,灌篮高手,灌篮高手,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
40,樱桃小丸子,樱桃小丸子,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
41,蜡笔小新,蜡笔小新,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
42,哆啦A梦,哆啦A梦,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
43,数码宝贝,数码宝贝,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
44,圣斗士,圣斗士,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
45,美少女战士,美少女战士,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
46,游戏王,游戏王,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
47,幽游白书,幽游白书,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
48,银魂,银魂,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
49,妖精尾巴,妖精尾巴,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
50,刀剑神域,刀剑神域,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
51,一拳超人,一拳超人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
52,东京喰种,东京喰种,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
53,全职猎人,全职猎人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
54,黑执事,黑执事,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
55,进击的巨人,进击的巨人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
56,青之驱魔师,青之驱魔师,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
57,鬼灭之刃,鬼灭之刃,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
58,咒术回战,咒术回战,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
59,排球少年,排球少年,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
60,网球王子,网球王子,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
61,夏目友人帐,夏目友人帐,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
62,命运之夜,命运之夜,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
63,未闻花名,未闻花名,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
64,言叶之庭,言叶之庭,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
65,千与千寻,千与千寻,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
66,龙猫,龙猫,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
67,天空之城,天空之城,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
68,红猪,红猪,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
69,风之谷,风之谷,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
70,魔女宅急便,魔女宅急便,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
71,你的名字,你的名字,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
72,天气之子,天气之子,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
73,铃芽之旅,铃芽之旅,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
74,狐妖小红娘,狐妖小红娘,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
75,罗小黑战记,罗小黑战记,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
76,刺客伍六七,刺客伍六七,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
77,大鱼海棠,大鱼海棠,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
78,白蛇缘起,白蛇缘起,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
79,斗罗大陆,斗罗大陆,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
80,斗破苍穹,斗破苍穹,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
81,一人之下,一人之下,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
82,全职高手,全职高手,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
83,镇魂街,镇魂街,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
84,不良人,不良人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
85,星游记,星游记,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
86,灵笼,灵笼,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
87,喜羊羊,喜羊羊,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
88,熊出没,熊出没,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
89,秦时明月,秦时明月,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
90,虹猫蓝兔,虹猫蓝兔,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
91,画江湖,画江湖,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
92,面条,面条,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
93,粥品,粥品,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
94,汉堡,汉堡,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
95,炸鸡,炸鸡,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
96,麻辣烫,麻辣烫,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
97,牛排,牛排,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
98,沙拉,沙拉,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
99,酸奶,酸奶,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
100,豆腐,豆腐,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
101,秃子头上,平和,歇后语,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
102,先知,预言家,狼人杀,,hint_like_high,70-90,100,二者几乎相等,gold_candidate_v26
103,嫉妒,会议,感情,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
104,星游记,礁石,动漫,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
105,图穷匕见,破釜沉舟,典故,,same_category_mid,60-70,30,都是历史典故，但关联度不高,gold_candidate_v26
106,天体,上线,学科,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
107,和尚打伞,肆意妄为,歇后语,,hint_like_high,70-90,50,后者范围较广,gold_candidate_v26
108,合成,词缀打造,游戏,,hint_like_high,70-90,40,词缀仅仅是合成的一小部分内容,gold_candidate_v26
109,欣赏,欣慰,情感,,same_category_mid,60-70,60,有相同的字但意思不对,gold_candidate_v26
110,张信哲,立夏,歌手,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
111,破釜沉舟,居安思危,典故,,same_category_mid,60-70,30,都是历史典故，但关联度不高,gold_candidate_v26
112,里程碑,里程碑,工作,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
113,悲伤,碑刻,感情,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
114,收拾,收拾,生活,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
115,视角,镜头位置,游戏,,hint_like_high,70-90,80,词义上接近，但后者只是前者的一个方面,gold_candidate_v26
116,解谜,升级,游戏,,same_category_mid,60-70,40,都是游戏，但关联度不高,gold_candidate_v26
117,欣赏,小年,情感,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
118,古城,云雾,风景,,same_category_mid,60-70,40,关联度低,gold_candidate_v26
119,塔防,手柄,游戏,,same_category_mid,60-70,30,都是游戏，但关联度不高,gold_candidate_v26
120,盲人摸象,盲人摸象,成语,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
121,林黛玉,挟天子,人物,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
122,极光,函谷关,风景,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
123,夏至,欣慰,节日,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
124,泡汤,室外池边,旅游,,hint_like_high,70-90,60,后者范围有点大,gold_candidate_v26
125,压抑,郁结,感情,,hint_like_high,70-90,60,都有抑郁的情感色彩但不完全一样,gold_candidate_v26
126,河伯,神农,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,gold_candidate_v26
127,鲛人,麒麟,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,gold_candidate_v26
128,生态,圣诞,学科,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
129,千与千寻,魔法,动漫,,hint_like_high,70-90,30,有关联但不高,gold_candidate_v26
130,相柳,西王母,神话,,same_category_mid,60-70,40,都是神话，但关联度不高,gold_candidate_v26
131,雷公,神话神,神话,,hint_like_high,70-90,50,后者范围较广,gold_candidate_v26
132,月食,流星雨,宇宙,,same_category_mid,60-70,40,都是宇宙相关，但关联度不高,gold_candidate_v26
133,死神,全职高手,动漫,,same_category_mid,60-70,50,均为动漫，语义不同,gold_candidate_v26
134,柳宗元,关羽,人物,,same_category_mid,60-70,20,都为名人，二者关联度低,gold_candidate_v26
135,灯谜,元宵娱乐,文化,,hint_like_high,70-90,70,包含关系,gold_candidate_v26
136,王安石,王安石,人物,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
137,杨戬,劈山救母,神话,,hint_like_high,70-90,80,后者为前者具体事迹,gold_candidate_v26
138,咒术回战,法门,动漫,,hint_like_high,70-90,60,包含关系,gold_candidate_v26
139,丢垃圾,搬家,生活,,same_category_mid,60-70,20,语义不同,gold_candidate_v26
140,月球,惊喜,宇宙,,cross_category_low,0-30,9,二者不搭界,gold_candidate_v26
141,跟踪,杜甫,工作,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
142,对牛弹琴,掩耳盗铃,成语,,same_category_mid,60-70,30,都是成语，但关联度不高,gold_candidate_v26
143,狗咬吕洞宾,狗咬吕洞宾,歇后语,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
144,策略,博弈思考,游戏,,hint_like_high,70-90,50,关联度中等,gold_candidate_v26
145,光年,测天距,宇宙,,hint_like_high,70-90,90,很接近,gold_candidate_v26
146,鸡犬升天,郁闷,歇后语,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
147,值机,春分,旅游,,cross_category_low,0-30,6,二者不搭界,gold_candidate_v26
148,杯水车薪,母子转变,歇后语,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
149,白居易,张衡,人物,,same_category_mid,60-70,40,都是历史人物，但关联度不高,gold_candidate_v26
150,地球,体面,宇宙,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
151,默写,预读,学习,,same_category_mid,60-70,20,关联度低,gold_candidate_v26
152,催办,登顶,工作,,cross_category_low,0-30,10,二者不搭界,gold_candidate_v26
153,归纳,考试,学习,,same_category_mid,60-70,40,都是学习活动，但关联度不高,gold_candidate_v26
154,望远镜,天文器,宇宙,,hint_like_high,70-90,60,包含关系,gold_candidate_v26
155,凿壁借光,凿壁借光,典故,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
156,惬意,草船借箭,感情,,cross_category_low,0-30,20,语义不同,gold_candidate_v26
157,背水一战,闻鸡起舞,典故,,same_category_mid,60-70,30,关联度低,gold_candidate_v26
158,订房,亮起来,旅游,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
159,俯卧,平躺反,动作,,hint_like_high,70-90,90,很接近,gold_candidate_v26
160,石像鬼,石像鬼,狼人杀,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
161,弹跳,弓步,动作,,same_category_mid,60-70,20,语义不同,gold_candidate_v26
162,陨石,星球,宇宙,,same_category_mid,60-70,40,都是宇宙相关，但关联度不高,gold_candidate_v26
163,释然,释然,感情,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
164,阅读,骑士,学习,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
165,小幸运,俯冲,歌曲,,cross_category_low,0-30,4,二者不搭界,gold_candidate_v26
166,烦闷,心酸,情感,,same_category_mid,60-70,30,语义不同,gold_candidate_v26
167,灵笼,天空之城,动漫,,same_category_mid,60-70,50,关联度中等,gold_candidate_v26
168,植物,无顾虑,学科,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
169,纸上谈兵,望梅止渴,典故,,same_category_mid,60-70,30,都是历史典故，但关联度不高,gold_candidate_v26
170,屈原,端午纪念,人物,,hint_like_high,70-90,90,关联度很高,gold_candidate_v26
171,卫星,果汁,宇宙,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
172,医学,逻辑,学科,,same_category_mid,60-70,20,关联度较高,gold_candidate_v26
173,逛馆,展品,旅游,,hint_like_high,70-90,60,关联度够了，但是二者词性不同,gold_candidate_v26
174,妖精尾巴,一人之下,动漫,,same_category_mid,60-70,50,关联度中等,gold_candidate_v26
175,张杰,答辩,歌手,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
176,小葱拌豆腐,刻舟求剑,歇后语,,same_category_mid,60-70,30,关联度低,gold_candidate_v26
177,迈步,迈步,动作,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
178,入职,语文,工作,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
179,鸡犬升天,鸡犬升天,歇后语,,same_answer_exact,95-100,100,完全一样,gold_candidate_v26
180,挥拳,连线图,动作,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
181,雪峰,樱花,风景,,same_category_mid,60-70,20,猜不到的,gold_candidate_v26
182,天空之城,冒险,动漫,,hint_like_high,70-90,40,冒险太笼统了,gold_candidate_v26
183,郁闷,热切,情感,,same_category_mid,60-70,20,语义不同,gold_candidate_v26
184,踮脚,拓印,动作,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
185,大鱼海棠,天空之城,动漫,,same_category_mid,60-70,70,都为动漫,gold_candidate_v26
186,哲学,稳定性,学科,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
187,幽游白书,斗破苍穹,动漫,,same_category_mid,60-70,50,均为动漫，语义不同,gold_candidate_v26
188,网球王子,铃芽之旅,动漫,,same_category_mid,60-70,50,关联度中等,gold_candidate_v26
189,露台,复盘,旅游,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
190,红豆,温柔,歌曲,,hint_like_high,70-90,30,后者仅是前者的一种情绪表达，关联度不高,gold_candidate_v26
191,运动,先定规则,生活,,nonsense_low,0-20,2,毫无关联,gold_candidate_v26
192,八面玲珑,杯弓蛇影,成语,,same_category_mid,60-70,30,都是成语，但关联度不高,gold_candidate_v26
193,全职猎人,馄饨,动漫,,cross_category_low,0-30,7,二者不搭界,gold_candidate_v26
194,走位,躲技能,游戏,,hint_like_high,70-90,90,很接近,gold_candidate_v26
195,彩陶,评弹,文化,,same_category_mid,60-70,30,种类虽相同，但词义相差甚远,gold_candidate_v26
