id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,source_tier,sample_weight,noise_reasons
1,seitai,点头,神话,,cross_category_low,0-30,6,二者不搭界,,unknown,0.50,
2,一人之下,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
3,一人之下,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
4,一人之下,青之驱魔师,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
5,一拳超人,喜羊羊,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
6,一拳超人,守株待兔,动漫,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
7,一拳超人,虹猫蓝兔,动漫,动漫,near_synonym_high,75-90,82,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
8,一拳超人,龙猫,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
9,七夕,软糯,节日,,nonsense_low,0-20,2,毫无关联,,unknown,0.50,
10,三令五申,反复说明,典故,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
11,三令五申,超新星,典故,,cross_category_low,0-30,2,二者不搭界,,unknown,0.50,
12,三明治,卧薪尝胆,美食,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
13,三顾茅庐,反复邀请,典故,,hint_like_high,70-90,80,关联度较高,,unknown,0.50,
14,三顾茅庐,求才若渴,典故,,hint_like_high,70-90,70,字面意思接近,,unknown,0.50,
15,上网,信号满,生活,,hint_like_high,70-90,70,信号满容易联想到手机或者WIFI,,unknown,0.50,
16,上课,不良人,学习,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
17,不良人,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
18,不良人,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
19,不良人,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
20,丘比特,瀑布,狼人杀,,cross_category_low,0-30,7,二者不搭界,,unknown,0.50,
21,东京喰种,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
