id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
327,卧冰求鲤,围魏救赵,典故,,same_category_mid,60-70,20,成语关联度不高,
228,熬夜,次日困,生活,,hint_like_high,70-90,70,二者有先后顺序,
95,花木兰,巾帼英雄,人物,,hint_like_high,70-90,70,包含关系,
11,销假,销假,工作,,same_answer_exact,95-100,100,完全一样,
737,解答,看风景,学习,,nonsense_low,0-20,2,毫无关联,
90,预备役,待命,狼人杀,,hint_like_high,70-90,55,内容接近,
367,升级,组队,游戏,,same_category_mid,60-70,60,关联度中等,
93,斗罗大陆,武魂,动漫,,hint_like_high,70-90,70,都为动漫,
19,饺子,饺子,美食,,same_answer_exact,95-100,100,完全一样,
127,杯弓蛇影,恐慌由假,成语,,hint_like_high,70-90,70,意思接近,
620,退避三舍,光年,典故,,cross_category_low,0-30,7,二者不搭界,
767,狼骑士,无一落空,狼人杀,,nonsense_low,0-20,2,毫无关联,
263,斗罗大陆,成长,动漫,,hint_like_high,70-90,50,后者范围较广,
264,徒步,一路走,旅游,,hint_like_high,70-90,70,关联度中等,
777,纸里包火,鬼狐故事,歇后语,,nonsense_low,0-20,2,毫无关联,
543,纸上谈兵,拓印,典故,,cross_category_low,0-30,3,二者不搭界,
791,斗破苍穹,热带,动漫,,nonsense_low,0-20,2,毫无关联,
232,订房,确认日期,旅游,,hint_like_high,70-90,50,关联度中等,
324,出境,背包,旅游,,same_category_mid,60-70,20,关联度低,
565,生物,梦魇,学科,,cross_category_low,0-30,7,二者不搭界,
564,名侦探柯南,旋转,动漫,,cross_category_low,0-30,7,二者不搭界,
244,逛馆,展厅,旅游,,hint_like_high,70-90,60,联想度不够,
430,起身,俯卧,动作,,same_category_mid,60-70,20,语义不同,
752,悬梁刺股,梯田,典故,,nonsense_low,0-20,2,毫无关联,
71,冰川,冰川,风景,,same_answer_exact,95-100,100,完全一样,
720,月食,柔美唱腔,宇宙,,nonsense_low,0-20,2,毫无关联,
274,里程碑,阶段目标,工作,,hint_like_high,70-90,90,语义相近,
728,热切,断绝退路,情感,,nonsense_low,0-20,2,毫无关联,
442,沙拉,果汁,美食,,same_category_mid,60-70,30,都是吃的，仅此而已,
149,粥品,清淡,美食,,hint_like_high,70-90,50,关联度中等,
690,教程,运动,游戏,,nonsense_low,0-20,2,毫无关联,
13,释然,释然,感情,,same_answer_exact,95-100,100,完全一样,
676,租房,拍照,生活,,cross_category_low,0-30,7,二者不搭界,
398,石雕,篆刻,文化,,same_category_mid,60-70,40,都是文化，但关联度不高,
309,汤圆,饺子,美食,,same_category_mid,60-70,70,关联度较高,
639,秦始皇,烤鸭,人物,,cross_category_low,0-30,7,二者不搭界,
238,豆花,勺舀,美食,,hint_like_high,70-90,50,后者为前者的动作行为,
286,哪吒,麒麟,神话,,same_category_mid,60-70,70,种类相同,
117,历史,时序,学科,,hint_like_high,70-90,30,某种意义上的关联，但很难联想,
466,交付,评审,工作,,same_category_mid,60-70,40,范围接近，语义不同,
611,烤鱼,陶器,美食,,cross_category_low,0-30,7,二者不搭界,
618,塔防,指鹿为马,游戏,,cross_category_low,0-30,7,二者不搭界,
697,星座,造型表现,宇宙,,nonsense_low,0-20,2,毫无关联,
308,销假,催办,工作,,same_category_mid,60-70,20,二者关联度低,
193,玄武,黑色,神话,,hint_like_high,70-90,50,玄武是四象之一，代表北方和水，虽然常被描绘为黑色，但并非其唯一特征，,
642,鸡犬升天,郁闷,歇后语,,cross_category_low,0-30,7,二者不搭界,
415,真空,轨道,宇宙,,same_category_mid,60-70,30,都是宇宙相关，但关联度不高,
294,入职,自检,工作,,same_category_mid,60-70,10,二者完全不搭界,
530,星游记,礁石,动漫,,cross_category_low,0-30,7,二者不搭界,
781,鹤立鸡群,看高处,成语,,nonsense_low,0-20,2,毫无关联,
196,侧步,左右挪,动作,,hint_like_high,70-90,70,字面意思接近，联想度不高,
437,樱桃小丸子,魔女宅急便,动漫,,same_category_mid,60-70,50,关联度中等,
515,通话,养宠,生活,,same_category_mid,60-70,20,语义不同,
283,炸鸡,烤鸭,美食,,same_category_mid,60-70,70,种类相同,
65,咒术回战,咒术回战,动漫,,same_answer_exact,95-100,100,完全一样,
217,文天祥,丹心,人物,,hint_like_high,70-90,90,人物著作中提到丹心，关联度较高,
745,向导,撞山,旅游,,nonsense_low,0-20,2,毫无关联,
655,化学,狼人,学科,,cross_category_low,0-30,7,二者不搭界,
646,讨论,鲁迅,学习,,cross_category_low,0-30,7,二者不搭界,
347,流星雨,陨石,宇宙,,same_category_mid,60-70,60,关联度中等,
795,柳宗元,叙事,人物,,nonsense_low,0-20,2,毫无关联,
486,悬崖,古镇,风景,,same_category_mid,60-70,30,都是风景，但关联度不高,
146,应龙,飞天,神话,,hint_like_high,70-90,80,关联度较高,
130,四面楚歌,无路可退,典故,,hint_like_high,70-90,80,环境相同,
167,数学,方程求解,学科,,hint_like_high,70-90,85,后者根据学科内容较容易联想到答案,
341,生物,地理,学科,,same_category_mid,60-70,50,关联度中等,
163,土星,气体球,宇宙,,hint_like_high,70-90,60,后者范围大,
366,猪八戒照镜,瓜田李下,歇后语,,same_category_mid,60-70,20,语义不同,
72,果汁,果汁,美食,,same_answer_exact,95-100,100,完全一样,
506,做题,记忆,学习,,same_category_mid,60-70,40,都是学习，但关联度不高,
661,雪中送炭,貔貅,成语,,cross_category_low,0-30,7,二者不搭界,
252,鲛,海底歌,神话,,hint_like_high,70-90,80,关联度较高,
296,露营,拍景,旅游,,same_category_mid,60-70,30,词义关联度较低,
73,麻辣烫,麻辣烫,美食,,same_answer_exact,95-100,100,完全一样,
675,薛之谦,满足,歌手,,cross_category_low,0-30,7,二者不搭界,
632,露台,复盘,旅游,,cross_category_low,0-30,7,二者不搭界,
559,王安石,青之驱魔师,人物,,cross_category_low,0-30,7,二者不搭界,
593,日报,瞎子点灯,工作,,cross_category_low,0-30,7,二者不搭界,
265,名侦探柯南,黑衣,动漫,,hint_like_high,70-90,50,后者范围较广,
