case_id,answer,user_input,current_score,corrected_score,error_type,error_severity,why_wrong,natural_relation,evidence,review_status,reviewer,source,created_at
1,星球,不知道,79,5,nonsense,critical,完全无关却被打到高分，不符合自然语义,none,用户实测离谱高分,merged,,online_feedback,2026-04-24
2,星球,数学,79,8,abstract_confusion,high,抽象词误碰同样抽象的学科词，但语义核心不接近,very_weak,用户实测离谱高分,merged,,online_feedback,2026-04-24
3,语文,地质,40,28,same_category_but_far,medium,都属于学科但语义不近，只能算同类远相关,weak,gold_style_reference,merged,,manual_review,2026-04-24
4,宇宙,物理,-1,20,abstract_confusion,high,宇宙与物理是关联抽象词，但语义核心不同，模型因共现语境高估,related_domain_not_synonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
5,宇宙,数学,-1,12,abstract_confusion,high,宇宙与数学无直接语义关联，模型抽象共现误判,very_weak,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
6,宇宙,哲学,-1,18,abstract_confusion,high,宇宙与哲学均高度抽象，模型受共现影响高估,very_weak,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
7,宇宙,时间,-1,35,abstract_confusion,medium,时间是宇宙属性之一，有合理关联但非同义,weak_relation,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
8,命运,因果,-1,42,abstract_confusion,medium,因果和命运有哲学关联，但语义核心不同,related_concept,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
9,灵魂,思想,-1,55,abstract_confusion,low,两者都是抽象内心概念，有合理相似性但非同义,related_moderate,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
10,智慧,力量,-1,28,abstract_confusion,medium,智慧和力量都是人的属性，但语义核心不同,same_attribute_domain,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
11,星球,物理,-1,15,abstract_confusion,high,星球是天体概念，物理是学科，仅因抽象词共现被高估,very_weak,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
12,快乐,悲伤,-1,10,antonym_or_conflict,critical,明确反义词，语义完全相反，不应超过12,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
13,高兴,难过,-1,10,antonym_or_conflict,critical,明确情绪反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
14,白天,黑夜,-1,12,antonym_or_conflict,high,时间反义词，同类但方向相反,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
15,胜利,失败,-1,12,antonym_or_conflict,high,结果反义词，语义完全对立,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
16,古代,现代,-1,12,antonym_or_conflict,high,时间段反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
17,永恒,瞬间,-1,12,antonym_or_conflict,high,持续性反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
18,虚无,存在,-1,12,antonym_or_conflict,high,哲学反义词，不应高分,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
19,智慧,愚昧,-1,10,antonym_or_conflict,high,智力反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
20,医生,老师,-1,22,same_category_but_far,medium,同为职业，但功能和语义核心完全不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
21,老虎,大象,-1,22,same_category_but_far,medium,同为大型动物，语义核心明显不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
22,春天,秋天,-1,28,same_category_but_far,medium,同为季节，描述完全不同的季节特征,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
