id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
848,屈原,屈原,人物,,exact_match,98-100,100,完全一致,
501,白虎,玄女,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,
959,夜游,压抑,旅游,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
792,理发,步行区,生活,,nonsense_low,0-20,2,毫无关联,
641,鸡犬升天,郁闷,歇后语,,cross_category_low,0-30,7,二者不搭界,
957,望梅止渴,追剧,典故,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
733,迷茫,零钱,感情,,nonsense_low,0-20,2,毫无关联,
953,转身,旋转,动作,,related_mid,45-75,70,同类词（需人工复核）,
187,投笔从戎,奔赴战场,典故,,hint_like_high,70-90,70,后者没有描述到投笔的含义,
351,面条,三明治,美食,,same_category_mid,60-70,30,都是吃的，仅此而已,
730,排球少年,熬到很晚,动漫,,nonsense_low,0-20,2,毫无关联,
212,挤压,缩体积,动作,,hint_like_high,70-90,70,后者过于口语化,
470,外星人,星球,宇宙,,same_category_mid,60-70,40,都是宇宙相关，但关联度不高,
880,骑士,骑士,狼人杀,,exact_match,98-100,100,完全一致,
613,记忆,流星雨,学习,,cross_category_low,0-30,7,二者不搭界,
348,屈原,诸葛亮,人物,,same_category_mid,60-70,30,都是历史人物，但关联度不高,
339,植物,生态,学科,,same_category_mid,60-70,40,关联度中等,
998,订房,三顾茅庐,旅游,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
626,地球,体面,宇宙,,cross_category_low,0-30,7,二者不搭界,
560,心疼,柳宗元,情感,,cross_category_low,0-30,7,二者不搭界,
475,数学,生态,学科,,same_category_mid,60-70,40,都是学科，但关联度不高,
863,云海,云海,风景,,exact_match,98-100,100,完全一致,
700,命运之夜,引人来改,动漫,,nonsense_low,0-20,2,毫无关联,
431,相柳,刑天,神话,,same_category_mid,60-70,40,都是神话，但关联度不高,
638,秦始皇,烤鸭,人物,,cross_category_low,0-30,7,二者不搭界,
376,豆花,火锅,美食,,same_category_mid,60-70,30,都是吃的，仅此而已,
158,立冬,寒意重,节日,,hint_like_high,70-90,90,关联度较高,
1021,厉害,一鸣惊人,,,related_mid,40-80,34,人工锚点覆盖：近义语义（口语表达，反向）,manual_override
906,踢踏,脚步拍,动作,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
114,盘腿,坐定,动作,,hint_like_high,70-90,70,字面意思有关联系,
814,电脑,计算机,锚点词,,near_synonym_high,70,70,常见近义,
302,海岸,溪流,风景,,same_category_mid,60-70,30,都有水，总体关联度不高,
406,孤寂,无奈,情感,,same_category_mid,60-70,30,语义不同,
961,赶车,提问,旅游,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
446,河伯,神农,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,
1032,诸葛亮,aaa,,,hard_negative_low,0-12,10,人工精调：随机串无关（反向）,manual_patch
409,烦闷,心酸,情感,,same_category_mid,60-70,30,语义不同,
330,欣赏,欣慰,情感,,same_category_mid,60-70,60,有相同的字但意思不对,
82,压抑,郁结,感情,,hint_like_high,70-90,60,都有抑郁的情感色彩但不完全一样,
625,欣喜,批改,情感,,cross_category_low,0-30,7,二者不搭界,
273,郁闷,想叹气,情感,,hint_like_high,70-90,80,关联度较高,
655,实验,旋转,学习,,cross_category_low,0-30,7,二者不搭界,
702,极光,函谷关,风景,,nonsense_low,0-20,2,毫无关联,
6,挑灯夜战,挑灯夜战,成语,,same_answer_exact,95-100,100,完全一样,
679,惊蛰,轮岗,节日,,cross_category_low,0-30,7,二者不搭界,
646,忐忑,战绩,感情,,cross_category_low,0-30,7,二者不搭界,
31,挥拳,挥拳,动作,,same_answer_exact,95-100,100,完全一样,
879,倒挂,倒挂,动作,,exact_match,98-100,100,完全一致,
678,早起,引力波,生活,,cross_category_low,0-30,7,二者不搭界,
200,评弹,书场表演,文化,,hint_like_high,70-90,90,很接近,
550,冲茶,挥拳,生活,,cross_category_low,0-30,10,语义不同,
74,材料,材料,学科,,same_answer_exact,95-100,100,完全一样,
170,真挚,情感纯粹,情感,,hint_like_high,70-90,80,关联度较高,
169,计算,代码实现,学科,,hint_like_high,70-90,30,关联度不高,
7,里程碑,里程碑,工作,,same_answer_exact,95-100,100,完全一样,
649,一拳超人,守株待兔,动漫,,cross_category_low,0-30,7,二者不搭界,
28,哪吒,哪吒,神话,,same_answer_exact,95-100,100,完全一样,
161,过图,进下关,游戏,,hint_like_high,70-90,60,还是不好猜到,
749,白狼王,邪灵,狼人杀,,nonsense_low,0-20,2,毫无关联,
473,按部就班,画地为牢,成语,,same_category_mid,60-70,30,都是成语，但关联度不高,
1017,刮目相看,一鸣惊人,,,related_mid,40-80,46,人工锚点覆盖：语义相关（反向）,manual_override
751,悬梁刺股,梯田,典故,,nonsense_low,0-20,2,毫无关联,
586,值班,狗尾续貂,工作,,cross_category_low,0-30,7,二者不搭界,
382,归纳,考试,学习,,same_category_mid,60-70,40,都是学习活动，但关联度不高,
240,大暑,找阴凉,节日,,hint_like_high,70-90,70,字面意思接近,
836,学校,寿司,锚点词,,hard_negative_low,0-20,12,跨域无关,
113,外卖,门口取,生活,,hint_like_high,70-90,55,有关联，但联想程度不高,
870,丘比特,丘比特,狼人杀,,exact_match,98-100,100,完全一致,
86,湖泊,群山环抱,风景,,hint_like_high,70-90,30,群山环抱的未必是湖泊,
866,一人之下,一人之下,动漫,,exact_match,98-100,100,完全一致,
527,复述,翻滚,学习,,cross_category_low,0-30,7,二者不搭界,
202,对齐,同步目标,工作,,hint_like_high,70-90,90,联想度高,
627,白狼王,鲛人,狼人杀,,cross_category_low,0-30,7,二者不搭界,
794,柳宗元,叙事,人物,,nonsense_low,0-20,2,毫无关联,
