id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,鸡犬升天,心猿意马,歇后语,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.429,hard_mining_v27
2,翻滚,手柄,动作,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.351,hard_mining_v27
3,望远镜,引力,宇宙,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
4,锦上添花,画饼充饥,成语,,related_mid,51-61,56,hard_positive_same_cat_0.491,hard_mining_v27
5,羞涩,热闹场面,情感,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
6,龙舟,评弹,文化,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
7,杯水车薪,习用语,成语,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
8,数学,材料,学科,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
9,惊喜,安心,情感,,related_mid,55-65,60,hard_positive_same_cat_0.531,hard_mining_v27
10,草船借箭,草船借箭,典故,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
11,银魂,愚者,动漫,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.480,hard_mining_v27
12,登高,重阳,节日,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
13,七夕,刑天,节日,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.446,hard_mining_v27
14,疲惫,愧疚,感情,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.575,hard_mining_v27
15,妖怪,铃芽之旅,动漫,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
16,儿童节,清晨,节日,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
17,小雪,小满,节日,,related_mid,57-67,62,hard_positive_same_cat_0.553,hard_mining_v27
18,豆浆,泡澡,美食,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.367,hard_mining_v27
19,猪八戒照镜,瓜田李下,歇后语,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
20,晴天,成长,歌曲,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
21,教育,历史,学科,,related_mid,59-69,64,hard_positive_same_cat_0.577,hard_mining_v27
22,豆浆,外卖,美食,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.373,hard_mining_v27
23,美少女战士,美少女战士,动漫,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
24,银魂,一人之下,动漫,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
25,居安思危,卧冰求鲤,典故,,related_mid,60-70,65,hard_positive_same_cat_0.588,hard_mining_v27
26,大暑,大禹,节日,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.375,hard_mining_v27
27,听写,技能,学习,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
28,森林,幽游白书,风景,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.466,hard_mining_v27
29,神农,立春,神话,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.474,hard_mining_v27
30,写作,做笔记,学习,,related_mid,56-66,61,hard_positive_same_cat_0.545,hard_mining_v27
31,天文,天文,学科,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
32,瀑布,温差大,风景,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
33,通风,做梦,生活,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
34,投标,方案,工作,,related_mid,62-72,67,hard_positive_same_cat_0.610,hard_mining_v27
35,跳跃,鞠躬,动作,,related_mid,50-60,55,hard_positive_same_cat_0.486,hard_mining_v27
36,早起,元旦,生活,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.562,hard_mining_v27
37,司马光,北宋史家,人物,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
38,开荒,狼人,游戏,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.578,hard_mining_v27
39,下段安排,汇总,工作,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
40,点头,拍手,动作,,related_mid,51-61,56,hard_positive_same_cat_0.492,hard_mining_v27
41,瞎子点灯,画蛇添足,歇后语,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.457,hard_mining_v27
42,小笼包,肉夹馍,美食,,related_mid,64-74,69,hard_positive_same_cat_0.628,hard_mining_v27
43,万圣节,烛龙,节日,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.545,hard_mining_v27
44,未闻花名,夜曲,动漫,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
45,红移,太阳系,宇宙,,related_mid,58-68,63,hard_positive_same_cat_0.566,hard_mining_v27
46,地球,银河,宇宙,,related_mid,59-69,64,hard_positive_same_cat_0.575,hard_mining_v27
47,对齐,远程,工作,,near_synonym_high,66-76,71,hard_positive_same_cat_0.644,hard_mining_v27
48,刺绣,秧歌,文化,,related_mid,52-62,57,hard_positive_same_cat_0.507,hard_mining_v27
49,做家务,养宠,生活,,related_mid,55-65,60,hard_positive_same_cat_0.536,hard_mining_v27
50,解谜,谜底,游戏,,near_synonym_high,75-85,80,hint_lvl_6,hard_mining_v27
51,合成,组队,游戏,,related_mid,55-65,60,hard_positive_same_cat_0.538,hard_mining_v27
52,地理,女娲,学科,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.342,hard_mining_v27
53,青铜,青龙,文化,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.603,hard_mining_v27
54,会议,技能,工作,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.436,hard_mining_v27
55,龙舟,西王母,文化,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.451,hard_mining_v27
56,脚尖离地,挥拳,动作,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
57,觅食,外卖,旅游,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.425,hard_mining_v27
58,自驾,赶车,旅游,,related_mid,47-57,52,hard_positive_same_cat_0.405,hard_mining_v27
59,青之驱魔师,大鱼海棠,动漫,,near_synonym_high,71-81,76,hard_positive_same_cat_0.690,hard_mining_v27
60,竹海,地貌,风景,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
61,狗尾续貂,老鼠过街,歇后语,,related_mid,61-71,66,hard_positive_same_cat_0.591,hard_mining_v27
62,元旦,看夜景,节日,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.376,hard_mining_v27
63,竹海,竹海,风景,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
64,劳动节,大暑,节日,,related_mid,56-66,61,hard_positive_same_cat_0.548,hard_mining_v27
65,主动请战,毛遂自荐,典故,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
66,女娲,拓印,神话,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.502,hard_mining_v27
67,农作,农学,学科,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
68,搬家,租房,生活,,related_mid,47-57,52,hard_positive_same_cat_0.434,hard_mining_v27
69,考古,年代,学科,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
70,闯关,读档,游戏,,related_mid,50-60,55,hard_positive_same_cat_0.489,hard_mining_v27
71,辛弃疾,杜甫,人物,,related_mid,59-69,64,hard_positive_same_cat_0.580,hard_mining_v27
72,皮鼓,夔牛,神话,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
73,圣斗士,摄梦人,动漫,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.517,hard_mining_v27
74,井底青蛙,探图,歇后语,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.488,hard_mining_v27
75,面条,馄饨,美食,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
76,摇头,激昂,动作,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.313,hard_mining_v27
77,需求,对接,工作,,near_synonym_high,65-75,70,hard_positive_same_cat_0.639,hard_mining_v27
78,答辩,愚者,学习,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.359,hard_mining_v27
79,行星,地球,宇宙,,near_synonym_high,75-85,80,hard_positive_same_cat_0.744,hard_mining_v27
80,刘德华,刘德华,歌手,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
81,失落,无聊,感情,,related_mid,57-67,62,hard_positive_same_cat_0.556,hard_mining_v27
82,全职高手,言叶之庭,动漫,,near_synonym_high,75-85,80,hard_positive_same_cat_0.735,hard_mining_v27
83,墙头草,凿壁借光,歇后语,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.392,hard_mining_v27
84,夸父,泥菩萨过,神话,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.471,hard_mining_v27
85,恒星,礁石,宇宙,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.334,hard_mining_v27
86,坐船,体验,旅游,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
87,探图,读档,游戏,,related_mid,52-62,57,hard_positive_same_cat_0.505,hard_mining_v27
88,数码宝贝,海贼王,动漫,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
89,盗贼,村民,狼人杀,,related_mid,62-72,67,hard_positive_same_cat_0.608,hard_mining_v27
90,倒挂,过程,动作,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
91,淋浴,臭豆腐,生活,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.313,hard_mining_v27
92,周深,刘德华,歌手,,related_mid,54-64,59,hard_positive_same_cat_0.530,hard_mining_v27
93,赶鸭子上架,秃子头上,歇后语,,related_mid,59-69,64,hard_positive_same_cat_0.575,hard_mining_v27
94,离职,技能,工作,,hard_negative_low,9-19,14,hard_negative_cross_sim_0.397,hard_mining_v27
95,纸里包火,草船借箭,歇后语,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.534,hard_mining_v27
96,女巫,守墓人,狼人杀,,near_synonym_high,71-81,76,hard_positive_same_cat_0.694,hard_mining_v27
97,擀面杖吹火,忍寒寻鱼,歇后语,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
98,思念,表达,情感,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
99,烦闷,愤懑,情感,,related_mid,54-64,59,hard_positive_same_cat_0.525,hard_mining_v27
100,星系,星座,宇宙,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
101,老马识途,井水不犯,歇后语,,related_mid,58-68,63,hard_positive_same_cat_0.564,hard_mining_v27
102,理解,哑巴吃黄连,学习,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.447,hard_mining_v27
103,圣斗士,精卫,动漫,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.566,hard_mining_v27
104,灯会,庙会,文化,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
105,高温顶,大暑,节日,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
106,大公无私,持之以恒,成语,,related_mid,50-60,55,hard_positive_same_cat_0.486,hard_mining_v27
107,订房,路线,旅游,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
108,汇报,发布岗位,工作,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
109,夜色,晚霞,风景,,related_mid,47-57,52,hard_positive_same_cat_0.429,hard_mining_v27
110,夜曲,旋律,歌曲,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
111,转身,转身,动作,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
112,苏轼,历史,人物,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
113,落座,停下,动作,,related_mid,56-66,61,hard_positive_same_cat_0.548,hard_mining_v27
114,礁石,看海,风景,,hard_negative_low,11-21,16,hard_negative_cross_sim_0.425,hard_mining_v27
115,震惊,委屈,感情,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
116,日出,日食,风景,,hard_negative_low,13-23,18,hard_negative_cross_sim_0.537,hard_mining_v27
117,杯弓蛇影,挑灯夜战,成语,,related_mid,58-68,63,hard_positive_same_cat_0.567,hard_mining_v27
118,闻鸡起舞,舞狮,典故,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.448,hard_mining_v27
119,礁石,大雪,风景,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.331,hard_mining_v27
120,欣喜,震撼,情感,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.481,hard_mining_v27
121,组队,跟进,游戏,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.404,hard_mining_v27
122,盘瓠,神鸟,神话,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
123,邓紫棋,孙燕姿,歌手,,related_mid,60-70,65,hard_positive_same_cat_0.587,hard_mining_v27
124,西王母,林黛玉,神话,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.605,hard_mining_v27
125,投标,排位,工作,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.345,hard_mining_v27
126,对齐,副本,工作,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.435,hard_mining_v27
127,值班,值机,工作,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.643,hard_mining_v27
128,茶园,森林,风景,,related_mid,51-61,56,hard_positive_same_cat_0.496,hard_mining_v27
129,拍景,拍景,旅游,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
130,朱雀,清明,神话,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
131,投笔从戎,刻苦自励,典故,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
132,流星雨,天体,宇宙,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.467,hard_mining_v27
133,樱桃小丸子,青之驱魔师,动漫,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
134,幽游白书,幽游白书,动漫,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
135,代数,生物,学科,,related_mid,61-71,66,hard_positive_same_cat_0.592,hard_mining_v27
136,潜狼,破案者,狼人杀,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
137,石像鬼,理发,狼人杀,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.638,hard_mining_v27
138,辛弃疾,万里长城,人物,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
139,李荣浩,言叶之庭,歌手,,hard_negative_low,11-21,16,hard_negative_cross_sim_0.440,hard_mining_v27
140,掩耳盗铃,老鼠过街,成语,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.623,hard_mining_v27
141,羞怯,感恩,情感,,related_mid,53-63,58,hard_positive_same_cat_0.513,hard_mining_v27
142,肉夹馍,起床,美食,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.355,hard_mining_v27
143,稻田,表面起伏,风景,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
144,夜色,看夜景,风景,,hard_negative_low,13-23,18,hard_negative_cross_sim_0.550,hard_mining_v27
145,春节,共工,节日,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.338,hard_mining_v27
146,寿司,陈奕迅,美食,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.374,hard_mining_v27
147,小满,欣慰,节日,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.396,hard_mining_v27
148,民宿,租房,生活,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
149,河伯,应龙,神话,,related_mid,58-68,63,hard_positive_same_cat_0.561,hard_mining_v27
150,纸鸢,字谜,文化,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
151,花鼓,秧歌,文化,,near_synonym_high,71-81,76,hard_positive_same_cat_0.697,hard_mining_v27
152,停下,跟进,动作,,hard_negative_low,1-11,6,hard_negative_cross_sim_0.406,hard_mining_v27
153,整理,周报,学习,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.436,hard_mining_v27
154,俯身,俯身,动作,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
155,太阳类,卫星,宇宙,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
156,一箭双雕,杯水车薪,成语,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.424,hard_mining_v27
157,潜伏,俯卧,动作,,related_mid,52-62,57,hard_positive_same_cat_0.507,hard_mining_v27
158,匹配,对接,游戏,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.593,hard_mining_v27
159,狼骑士,特殊击杀,狼人杀,,near_synonym_high,75-85,80,hint_lvl_6,hard_mining_v27
160,森林,晚霞,风景,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
161,邯郸学步,杯弓蛇影,典故,,hard_negative_low,9-19,14,hard_negative_cross_sim_0.492,hard_mining_v27
162,小年,过年,节日,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
163,释然,淡定,感情,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
164,夏至,处暑,节日,,related_mid,55-65,60,hard_positive_same_cat_0.537,hard_mining_v27
165,魔术师,预言家,狼人杀,,related_mid,64-74,69,hard_positive_same_cat_0.624,hard_mining_v27
166,画龙点睛,底细见光,成语,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
167,月饼,煎饼,美食,,near_synonym_high,75-85,80,hard_positive_same_cat_0.742,hard_mining_v27
168,秀才遇鬼,两全其美,歇后语,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
169,昆曲,音乐,文化,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.453,hard_mining_v27
170,赶车,脚步急,旅游,,near_synonym_high,75-85,80,hint_lvl_6,hard_mining_v27
171,林间,溪流,风景,,related_mid,56-66,61,hard_positive_same_cat_0.543,hard_mining_v27
172,柳宗元,北宋史家,人物,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
173,狼骑士,醒木,狼人杀,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
174,狼狈为奸,同伙作恶,成语,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
175,中秋,复活节,节日,,near_synonym_high,72-82,77,hard_positive_same_cat_0.706,hard_mining_v27
176,懊悔,失落,感情,,related_mid,55-65,60,hard_positive_same_cat_0.537,hard_mining_v27
177,寒意重,雨水,节日,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
