id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,编钟,青龙,文化,,hard_negative_low,9-19,14,hard_negative_cross_sim_0.464,hard_mining_v27
2,统计,技能,学科,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.425,hard_mining_v27
3,政治,首领机制,学科,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
4,负荆请罪,亡羊补牢,典故,,hard_negative_low,13-23,18,hard_negative_cross_sim_0.483,hard_mining_v27
5,刺客伍六七,机械狼,动漫,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
6,混血儿,查尸,狼人杀,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
7,饕餮,饕餮,神话,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
8,越剧,越剧,文化,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
9,极光,植物,风景,,hard_negative_low,11-21,16,hard_negative_cross_sim_0.517,hard_mining_v27
10,轻松,舒一口气,感情,,near_synonym_high,75-85,80,hint_lvl_6,hard_mining_v27
11,冰淇淋,冰淇淋,美食,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
12,打卡,留下足迹,旅游,,near_synonym_high,75-85,80,hint_lvl_6,hard_mining_v27
13,雪峰,地形狭长,风景,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
14,冬至,冰淇淋,节日,,hard_negative_low,11-21,16,hard_negative_cross_sim_0.560,hard_mining_v27
15,村民,跟票,狼人杀,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
16,数学,宇宙观测,学科,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
17,打野,草甸,游戏,,hard_negative_low,11-21,16,hard_negative_cross_sim_0.497,hard_mining_v27
18,俯冲,猛扑,动作,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
19,感情,依恋,情感,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
20,晚睡,午休,生活,,near_synonym_high,73-83,78,hard_positive_same_cat_0.713,hard_mining_v27
