id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,seitai,点头,神话,,cross_category_low,0-30,6,二者不搭界,
2,一人之下,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
3,一人之下,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1
4,一人之下,青之驱魔师,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
5,一拳超人,喜羊羊,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
6,一拳超人,守株待兔,动漫,,cross_category_low,0-30,7,二者不搭界,
7,一拳超人,虹猫蓝兔,动漫,动漫,near_synonym_high,75-90,82,failed_top1_confusion,suggested_relabel_ab_v1
8,一拳超人,龙猫,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1
9,七夕,软糯,节日,,nonsense_low,0-20,2,毫无关联,
10,三令五申,反复说明,典故,,hint_like_high,70-90,80,关联度较高,
11,三令五申,超新星,典故,,cross_category_low,0-30,2,二者不搭界,
12,三明治,卧薪尝胆,美食,,cross_category_low,0-30,7,二者不搭界,
13,三顾茅庐,反复邀请,典故,,hint_like_high,70-90,80,关联度较高,
14,三顾茅庐,求才若渴,典故,,hint_like_high,70-90,70,字面意思接近,
15,上网,信号满,生活,,hint_like_high,70-90,70,信号满容易联想到手机或者WIFI,
16,上课,不良人,学习,,cross_category_low,0-30,7,二者不搭界,
17,不良人,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1
18,不良人,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
19,不良人,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1
20,丘比特,瀑布,狼人杀,,cross_category_low,0-30,7,二者不搭界,
21,东京喰种,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
22,东京喰种,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1
23,东京喰种,青之驱魔师,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
24,井水不犯,传递流程,歇后语,,nonsense_low,0-20,2,毫无关联,
25,亡羊补牢,上课,成语,,cross_category_low,0-30,7,二者不搭界,
26,京剧,国粹舞台,文化,,hint_like_high,70-90,80,关联度较高,
27,京剧,风之谷,文化,,cross_category_low,0-30,7,二者不搭界,
28,代数,祖冲之,学科,,cross_category_low,0-30,7,二者不搭界,
29,伤心,幕布戏偶,感情,,nonsense_low,0-20,2,毫无关联,
30,伸展,下西洋,动作,,nonsense_low,0-20,2,毫无关联,
31,体面,体面,歌曲,,same_answer_exact,95-100,100,完全一样,
32,你的名字,大鱼海棠,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
33,你的名字,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1
34,你的名字,青之驱魔师,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1
35,侧步,左右挪,动作,,hint_like_high,70-90,70,字面意思接近，联想度不高,
36,俯卧,平躺反,动作,,hint_like_high,70-90,90,很接近,
37,俯身,云量厚,动作,,nonsense_low,0-20,2,毫无关联,
38,俯身,午休,动作,,cross_category_low,0-30,7,二者不搭界,
39,借刀杀人,月饼,典故,,nonsense_low,0-20,2,毫无关联,
40,借刀杀人,步骤,典故,,nonsense_low,0-20,2,毫无关联,
41,值机,安心,旅游,,cross_category_low,0-30,7,二者不搭界,
42,值机,春分,旅游,,cross_category_low,0-30,6,二者不搭界,
43,值班,狗尾续貂,工作,,cross_category_low,0-30,7,二者不搭界,
44,做作业,做作业,学习,,same_answer_exact,95-100,100,完全一样,
45,做实验,器材,学习,,hint_like_high,70-90,80,关联度较高,
46,做家务,得意,生活,,nonsense_low,0-20,2,毫无关联,
47,做家务,清理屋,生活,,hint_like_high,70-90,90,非常接近了,
48,做梦,存档,生活,,cross_category_low,0-30,7,二者不搭界,
49,做梦,火星,生活,,cross_category_low,0-30,7,二者不搭界,
50,停下,不再动,动作,,hint_like_high,70-90,80,关联度较高,
51,催办,登顶,工作,,cross_category_low,0-30,10,二者不搭界,
52,儿童节,学校活动,节日,,hint_like_high,70-90,70,学校联想度较高，但儿童节也有其他庆祝方式，关联度中等,
53,元宵,绿垄,节日,,nonsense_low,0-20,2,毫无关联,
54,先知,先知,狼人杀,,same_answer_exact,95-100,100,完全一样,
55,光年,测天距,宇宙,,hint_like_high,70-90,90,很接近,
56,入职,报到登记,工作,,hint_like_high,70-90,80,关联度较高，报到登记是入职的一个重要环节,
57,入职,语文,工作,,cross_category_low,0-30,7,二者不搭界,
58,全职猎人,数码宝贝,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
59,全职猎人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1
60,全职猎人,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
61,全职猎人,馄饨,动漫,,cross_category_low,0-30,7,二者不搭界,
62,公会,语言技巧,游戏,,nonsense_low,0-20,2,毫无关联,
63,关羽,盲人摸象,人物,,cross_category_low,0-30,7,二者不搭界,
64,写作,石桥,学习,,cross_category_low,0-30,7,二者不搭界,
65,冰川,冰川,风景,,same_answer_exact,95-100,100,完全一样,
66,冲茶,挥拳,生活,,cross_category_low,0-30,10,语义不同,
67,冷淡,国家事,情感,,nonsense_low,0-20,2,毫无关联,
68,出境,出境,旅游,,same_answer_exact,95-100,100,完全一样,
69,凿壁借光,凿壁借光,典故,,same_answer_exact,95-100,100,完全一样,
70,凿壁借光,夜读无灯,典故,,hint_like_high,70-90,85,后者为解释,
71,刀剑神域,对齐,动漫,,nonsense_low,0-20,2,毫无关联,
72,刺客伍六七,樱桃小丸子,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1
73,刺客伍六七,烤鸭,动漫,,nonsense_low,0-20,2,毫无关联,
74,刺客伍六七,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
75,刺客伍六七,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1
76,刻舟求剑,刻舟求剑,歇后语,,same_answer_exact,95-100,100,完全一样,
77,副本,开荒,游戏,,same_category_mid,60-70,70,关联度较高,
78,副本,汉堡,游戏,,cross_category_low,0-30,7,二者不搭界,
79,加班,加班,工作,,same_answer_exact,95-100,100,完全一样,
80,匆匆那年,稻香,歌曲,,same_category_mid,60-70,60,关联度中等,
81,化学,化学,学科,,same_answer_exact,95-100,100,完全一样,
82,化学,狼人,学科,,cross_category_low,0-30,7,二者不搭界,
83,匹配,运动,游戏,,cross_category_low,0-30,7,二者不搭界,
84,医学,诊断治疗,学科,,hint_like_high,70-90,70,包含关系,
85,千与千寻,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
86,千与千寻,白蛇缘起,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1
87,千与千寻,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1
88,升级,组队,游戏,,same_category_mid,60-70,60,关联度中等,
89,卧冰求鲤,寒冷之举,典故,,hint_like_high,70-90,70,字面意思接近,
90,卫星,果汁,宇宙,,cross_category_low,0-30,7,二者不搭界,
91,厌烦,猪八戒照镜,情感,,nonsense_low,0-20,2,毫无关联,
92,司马光,亲切感,人物,,nonsense_low,0-20,2,毫无关联,
93,合成,产出装备,游戏,,hint_like_high,70-90,80,合成包含产出装备但后者只是前者的一个方面,
94,同舟共济,锦上添花,成语,,same_category_mid,60-70,60,种类相同，但意义不同,
95,名不副实,华而无用,成语,,hint_like_high,70-90,70,字面意思接近,
96,名侦探柯南,刺客伍六七,动漫,动漫,related_mid,60-75,68,failed_top1_confusion,suggested_relabel_ab_v1
97,名侦探柯南,旋转,动漫,,cross_category_low,0-30,7,二者不搭界,
98,名侦探柯南,画江湖,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
99,名侦探柯南,黑执事,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
100,后来,告白气球,歌曲,,same_category_mid,60-70,60,关联度中等,
101,后来我们,划点,歌曲,,cross_category_low,0-30,7,二者不搭界,
102,后退,保持距离,动作,,hint_like_high,70-90,70,后者联想度一般，也可联想成为前进,
103,向导,撞山,旅游,,nonsense_low,0-20,2,毫无关联,
104,听课,守岁,学习,,nonsense_low,0-20,2,毫无关联,
105,听课,高处直冲,学习,,nonsense_low,0-20,2,毫无关联,
106,命运之夜,山脊,动漫,,cross_category_low,0-30,2,二者不搭界,
107,命运之夜,引人来改,动漫,,nonsense_low,0-20,2,毫无关联,
108,命运之夜,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1
109,命运之夜,进击的巨人,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
110,命运之夜,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1
111,咒术回战,咒术回战,动漫,,same_answer_exact,95-100,100,完全一样,
112,咒术回战,虹猫蓝兔,动漫,动漫,related_mid,60-75,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1
113,咒术回战,言叶之庭,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1
114,咒术回战,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1
115,咖喱,确认归岗,美食,,nonsense_low,0-20,2,毫无关联,
