id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
15107,购物,冬至,生活,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.344,hard_mining_v27
12802,免税,真空,旅游,,hard_negative_low,9-19,14,hard_negative_cross_sim_0.434,hard_mining_v27
2430,茂密植被,森林,风景,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
21395,冰川,立冬,风景,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.409,hard_mining_v27
3223,光年之外,激动,歌曲,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.613,hard_mining_v27
6888,闯关,教程,游戏,,related_mid,47-57,52,hard_positive_same_cat_0.448,hard_mining_v27
5937,侧步,伸手,动作,,related_mid,60-70,65,hard_positive_same_cat_0.584,hard_mining_v27
7387,脑筋太直,小葱拌豆腐,歇后语,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
19789,黄帝时,玄女,神话,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
6382,感恩,懊悔,情感,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.515,hard_mining_v27
9471,花田,花洒,风景,,near_synonym_high,75-85,80,hint_lvl_6,hard_mining_v27
1577,张信哲,谭维维,歌手,,related_mid,64-74,69,hard_positive_same_cat_0.627,hard_mining_v27
10682,擀面杖吹火,卧冰求鲤,歇后语,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.472,hard_mining_v27
16709,林黛玉,花木兰,人物,,related_mid,64-74,69,hard_positive_same_cat_0.630,hard_mining_v27
477,越剧,那英,文化,,hard_negative_low,13-23,18,hard_negative_cross_sim_0.559,hard_mining_v27
1624,翻译,双语转换,学习,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
18771,繁殖,养宠,生活,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
9997,银魂,罗小黑战记,动漫,,near_synonym_high,71-81,76,hard_positive_same_cat_0.692,hard_mining_v27
6722,财务,经济,学科,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
9085,紧张,欣慰,感情,,related_mid,51-61,56,hard_positive_same_cat_0.490,hard_mining_v27
22614,祭司,祭司,狼人杀,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
9996,关羽,盘瓠,人物,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.693,hard_mining_v27
175,中秋,复活节,节日,,near_synonym_high,72-82,77,hard_positive_same_cat_0.706,hard_mining_v27
212,卧冰求鲤,黔驴技穷,典故,,related_mid,58-68,63,hard_positive_same_cat_0.565,hard_mining_v27
21662,侧步,俯卧,动作,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
10875,俯卧,侧步,动作,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
4237,幽游白书,全职高手,动漫,,near_synonym_high,70-80,75,hard_positive_same_cat_0.686,hard_mining_v27
14163,赶鸭子上架,踩高跷,歇后语,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
11057,俯冲,赶车,动作,,hard_negative_low,13-23,18,hard_negative_cross_sim_0.412,hard_mining_v27
20412,岗位,方案,工作,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
7444,围魏救赵,秀才遇鬼,典故,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.326,hard_mining_v27
5252,当场戳,骑士,狼人杀,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
1389,青之驱魔师,能量流动,动漫,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
20558,文天祥,孙悟空,人物,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
19943,土星,特征,宇宙,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
10452,满足,感恩,感情,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.587,hard_mining_v27
7932,追剧,晾晒,生活,,related_mid,47-57,52,hard_positive_same_cat_0.351,hard_mining_v27
11788,炸鸡,火鸡餐,美食,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
4701,茶壶里煮饺,糖葫芦,歇后语,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.499,hard_mining_v27
20071,岳飞,西王母,人物,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.538,hard_mining_v27
15068,石桥,茶园,风景,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
18171,疲惫,没想到,感情,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
10663,害怕,愤懑,感情,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
372,满足,满足,感情,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
19347,杜甫,时代背景,人物,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
19225,和尚打伞,影在液面,歇后语,,near_synonym_high,75-85,80,hint_lvl_6,hard_mining_v27
20525,空间站,太空物,宇宙,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
22230,预习,老马识途,学习,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
18412,兴奋,愧疚,感情,,hard_negative_low,3-13,8,hard_negative_cross_sim_0.471,hard_mining_v27
2924,书法,民俗活动,文化,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
19488,石像鬼,圣斗士,狼人杀,,hard_negative_low,0-9,4,hard_negative_cross_sim_0.564,hard_mining_v27
15789,评弹,女声,文化,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
15505,陨石,土星,宇宙,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
13278,王菲,演员,歌手,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.600,hard_mining_v27
15428,小满,汤圆,节日,,hard_negative_low,11-21,16,hard_negative_cross_sim_0.507,hard_mining_v27
