id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,qc_status,qc_reason,qc_calibrated_score,qc_shared_chars,relabel_bucket,suggested_relation_tag,suggested_expected_range,suggested_score_0_100,relabel_note
1,死神,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,82.04,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
2,星游记,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,82.03,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
3,鬼灭之刃,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,81.81,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
4,海贼王,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.71,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
5,青之驱魔师,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,81.69,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
6,蜡笔小新,哆啦A梦,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.42,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
7,白蛇缘起,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.41,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
8,青之驱魔师,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.38,1,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
9,蜡笔小新,妖精尾巴,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,81.30,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
10,一拳超人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,81.12,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
11,镇魂街,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,80.75,0,A_80_100,near_synonym_high,75-90,82,人工确认：是否应从 hard_negative_low 上调
