id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,qc_status,qc_reason,qc_calibrated_score,qc_shared_chars
1,火影,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,72.68,0
2,火影,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,75.66,0
3,火影,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.86,0
4,海贼王,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,73.86,1
5,海贼王,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.71,0
6,死神,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,59.52,0
7,死神,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,82.04,0
8,死神,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,57.81,0
9,犬夜叉,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,80.62,0
10,犬夜叉,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,77.49,0
11,犬夜叉,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,74.20,0
12,名侦探柯南,刺客伍六七,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,71.54,0
13,名侦探柯南,黑执事,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.64,0
14,名侦探柯南,画江湖,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,60.16,0
15,灌篮高手,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,36.38,0
16,灌篮高手,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.27,0
17,蜡笔小新,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,72.15,1
18,蜡笔小新,哆啦A梦,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.42,0
19,蜡笔小新,妖精尾巴,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,81.30,0
20,哆啦A梦,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,79.05,0
21,哆啦A梦,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,67.84,0
22,哆啦A梦,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,50.33,0
23,数码宝贝,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,64.76,0
24,数码宝贝,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,70.38,0
