text_a,text_b,score
猫,猫咪,0.9
烤鸭,开心,0.03
感动,感动,0.94
李白,蔡依林,0.07
讨论,讨论,0.95
懊悔,孙燕姿,0.03
按兵不动,逻辑,0.04
关羽,刮骨疗毒,0.85
关羽,刮骨疗毒,0.85
握拳,按兵不动,0.04
糖葫芦,拓印,0.09
香道,逛街,0.1
阿萨德,演员,0.05
阿萨德,演员,0.05
杯水车薪,舞狮,0.07
徒步,天王星,0.08
赶鸭子上架,存档,0.08
音乐,屈原,0.1
挥拳,唇亡齿寒,0.07
计算,计算,0.92
秃子头上,焦虑,0.09
杜甫,诗圣,0.88
猫咪,猫,0.9
地球,上课,0.07
挥手,最美的期待,0.08
安心,妖精尾巴,0.1
管理,联机,0.06
月份,陆游,0.05
登机,排球少年,0.04
秃子头上,云雾,0.04
猫,猫咪,0.9
杜甫,诗圣,0.88
阿萨德,演员,0.05
迈步,迈步,0.97
琴棋,驯熊师,0.04
啊哈哈,刘备,0.05
后退,读书,0.09
剪纸,剪纸,0.91
背诵,落座,0.1
单刀赴会,惊喜,0.05
诸葛亮,猫咪,0.05
刘备,玄德,0.88
火星,破釜沉舟,0.05
历史,麻辣烫,0.02
猫咪,狗,0.1
刘备,玄德,0.88
海贼王,火影,0.8
井底之蛙,海浪,0.03
影子,愤怒,0.06
油菜花,夜游,0.02
蹒跚,蹒跚,0.97
香道,香道,0.96
挟天子,离职,0.07
背水一战,护理,0.05
银河,海贼王,0.03
井底之蛙,登顶,0.09
动物,俯身,0.04
转身,刻舟求剑,0.07
井然有序,熊出没,0.07
纸上谈兵,纸上谈兵,0.98
麻花,白蛇缘起,0.04
图穷匕见,图穷匕见,0.98
雨水,晚霞,0.1
关羽,刮骨疗毒,0.85
狗,猫咪,0.1
刘备,玄德,0.88
羞涩,羞涩,0.95
测绘,天文,0.07
罗小黑战记,夜曲,0.07
猫咪,狗,0.1
貔貅,调休,0.07
刘备,啊哈哈,0.05
失望,对症下药,0.08
墙头草,伸手,0.02
儿童节,祝融,0.04
彩陶,生态,0.09
出境,养宠,0.03
鞠躬,杯水车薪,0.1
果汁,需求,0.03
魔术师,夜游,0.09
杜甫,诗圣,0.88
刮骨疗毒,关羽,0.85
守口如瓶,告白气球,0.07
圣斗士,翻滚,0.05
悲伤,张学友,0.08
啊哈哈,刘备,0.05
漆器,漆器,0.97
卧冰求鲤,卧冰求鲤,0.96
坦诚,拍景,0.04
啊哈哈,刘备,0.05
猫咪,诸葛亮,0.05
啊哈哈,刘备,0.05
关羽,刮骨疗毒,0.85
