id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
5037,羞怯,害怕,情感,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.596,hard_mining_v27
6630,猎人,判官,狼人杀,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.551,hard_mining_v27
7581,红移,线路,宇宙,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
6688,蛋挞,白饼,美食,,near_synonym_high,65-75,70,hint_lvl_5,hard_mining_v27
12405,湖泊,黑色块,风景,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
747,烛龙,青龙,神话,,near_synonym_high,72-82,77,hard_positive_same_cat_0.703,hard_mining_v27
995,魔女宅急便,巫师,动漫,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
5402,摇头,摇头,动作,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
2608,月球,生物居,宇宙,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
11966,泡澡,通风,生活,,near_synonym_high,69-79,74,hard_positive_same_cat_0.674,hard_mining_v27
7064,风车,晚霞,风景,,related_mid,56-66,61,hard_positive_same_cat_0.542,hard_mining_v27
11432,金星,金星,宇宙,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
1299,做家务,厌烦,生活,,hard_negative_low,9-19,14,hard_negative_cross_sim_0.337,hard_mining_v27
10247,交付,纪念品,工作,,hard_negative_low,9-19,14,hard_negative_cross_sim_0.478,hard_mining_v27
12265,嫉妒,无聊,情感,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
9577,斗破苍穹,勇气,动漫,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.625,hard_mining_v27
8811,跟讲,上课,学习,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
2385,云海,云雾,风景,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
9003,伸展,摇晃走,动作,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
4331,登楼,过图,旅游,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.407,hard_mining_v27
3648,级别上调,排位,游戏,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
1723,情绪稳定,淡定,感情,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
7325,魔术师,石像鬼,狼人杀,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
7513,曹操,魏武,人物,,alias_synonym_high,85-95,90,hint_lvl_7,hard_mining_v27
12227,蜻蜓点水,冷淡,歇后语,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
6694,拉怪,表达,游戏,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
786,转机,卡关,旅游,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.341,hard_mining_v27
3505,轮岗,技能,工作,,hard_negative_low,9-19,14,hard_negative_cross_sim_0.448,hard_mining_v27
12305,寂寞,愧疚,情感,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
9865,告白,场景,歌曲,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
6794,发布,落地,工作,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
4363,禁锢者,特征,狼人杀,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
11275,烧饼,烧烤,美食,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,hard_mining_v27
9562,混血儿,被票不走,狼人杀,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
13658,刷本,过图,游戏,,related_mid,63-73,68,hard_positive_same_cat_0.617,hard_mining_v27
534,对接,暴击,工作,,related_low,25-35,30,hint_lvl_1,hard_mining_v27
12893,秃子头上,老虎头上,歇后语,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
3818,猪八戒照镜,铁公鸡,歇后语,,related_mid,64-74,69,hard_positive_same_cat_0.629,hard_mining_v27
8536,寿司,披萨,美食,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,hard_mining_v27
8299,复述,汇总,学习,,hard_negative_low,5-15,10,hard_negative_cross_sim_0.622,hard_mining_v27
11271,镇魂街,理发,动漫,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.598,hard_mining_v27
11568,进击的巨人,精卫,动漫,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.581,hard_mining_v27
9370,感动,心疼,情感,,related_mid,45-55,50,hint_lvl_3,hard_mining_v27
9356,朱雀,朱雀,神话,,alias_synonym_high,93-100,98,self_anchor,hard_mining_v27
6659,王力宏,刘德华,歌手,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
10605,八仙过海,方式愚笨,歇后语,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
13306,刷牙,馄饨,生活,,hard_negative_low,13-23,18,hard_negative_cross_sim_0.372,hard_mining_v27
1794,张良,十殿首,人物,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
12429,告白气球,夏目友人帐,歌曲,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.566,hard_mining_v27
1609,爆率,沙盒,游戏,,near_synonym_high,70-80,75,reverse_hint_lvl_5,hard_mining_v27
9520,引力波,振奋,宇宙,,related_low,35-45,40,hint_lvl_2,hard_mining_v27
11257,井底青蛙,黑洞,歇后语,,related_mid,55-65,60,hint_lvl_4,hard_mining_v27
349,总结,收拾,学习,,hard_negative_low,7-17,12,hard_negative_cross_sim_0.584,hard_mining_v27
