id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
6284,文天祥,爱国忠魂,人物,人物,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
754,手柄,大禹,游戏,,nonsense_low,0-20,2,毫无关联,
4968,按部就班,整理,成语,成语,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
5183,负薪读书,打发时间,典故,典故,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
2530,阎罗,鲲鹏,神话,神话,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
3236,平静,情绪稳定,情感,情感,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
4572,竹海,冰川,风景,风景,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
5943,历史,文物,学科,学科,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
2202,大暑,王勃,节日,节日,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
608,新手,丘比特,游戏,,cross_category_low,0-30,7,二者不搭界,
4791,按兵不动,外强中弱,成语,成语,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
6447,委屈,难为情,感情,感情,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
4953,鹤立鸡群,一枝独秀,成语,成语,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
6708,丘比特,心猿意马,狼人杀,狼人杀,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
2014,端午,河伯,节日,节日,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
342,兔子尾巴,铁公鸡,歇后语,,same_category_mid,60-70,20,二者关联度底,
2828,打野,花田,游戏,游戏,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
372,拍照,行李,旅游,,same_category_mid,60-70,20,语义不同,
73,麻辣烫,麻辣烫,美食,,same_answer_exact,95-100,100,完全一样,
4357,登机,逛馆,旅游,旅游,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
6516,忐忑,苦闷,感情,感情,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
3911,归纳,反复朗读,学习,学习,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
6886,薛之谦,歌词,歌手,歌手,hint_distill_top,75-85,80,hint distill target 80,hint_distill_v25
1176,妖精尾巴,仙桃宴,动漫,动漫,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
3505,点头,行走,动作,动作,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
3897,做作业,留作记,学习,学习,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
5945,历史,农学,学科,学科,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
3736,总结,合并信,学习,学习,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
482,抬头,点头,动作,,same_category_mid,60-70,20,语义不同,
2553,星球,太阳家园,宇宙,宇宙,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
1950,收拾,清理,生活,生活,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
6956,王力宏,邓紫棋,歌手,歌手,hint_distill_top,75-85,80,hint distill target 80,hint_distill_v25
6936,蔡依林,梁静茹,歌手,歌手,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
2234,秋分,风更凉,节日,节日,hint_distill_top,75-85,80,hint distill target 80,hint_distill_v25
5778,秧歌,红绸飞舞,文化,文化,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
485,语文,地质,学科,,same_category_mid,60-70,40,都是学科，但关联度不高,
2255,立冬,气温降,节日,节日,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
1218,进击的巨人,犬神,动漫,动漫,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
4085,落地,落座,工作,工作,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
2642,真空,薄气层,宇宙,宇宙,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
384,夏目友人帐,秦时明月,动漫,,same_category_mid,60-70,50,均为动漫，语义不同,
5832,生物,计算,学科,学科,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
6826,祭司,圣职,狼人杀,狼人杀,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
829,学校,校园,锚点词,,related_mid,60-82,80,同域相关,
3581,侧步,点头,动作,动作,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
2827,打野,神农,游戏,游戏,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
4523,沙漠,麻辣烫,风景,风景,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
5597,编钟,秋分,文化,文化,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
1788,装修,晾干上彩,生活,生活,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
865,天空之城,天空之城,动漫,,exact_match,98-100,100,完全一致,
4742,湖畔,微风,风景,风景,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
446,河伯,神农,神话,,same_category_mid,60-70,60,都是神话，但关联度不高,
5233,围魏救赵,挟天子,典故,典故,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
885,老子,老子,人物,,exact_match,98-100,100,完全一致,
1369,大鱼海棠,森林,动漫,动漫,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
4092,里程碑,新手,工作,工作,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
5300,黄鼠狼拜年,无气体,歇后语,歇后语,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
2999,过图,黑屏转,游戏,游戏,hint_distill_top,75-85,80,hint distill target 80,hint_distill_v25
4229,观光,浏览景点,旅游,旅游,hint_distill_top,85-95,90,hint distill target 90,hint_distill_v25
2330,伏羲,古纹,神话,神话,hint_distill_high,65-75,70,hint distill target 70,hint_distill_v25
1967,午休,加班,生活,生活,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
103,花鼓,踏步节奏,文化,,hint_like_high,70-90,60,关联度中等,
2647,光年,膨胀因,宇宙,宇宙,hint_distill_mid,45-55,50,hint distill target 50,hint_distill_v25
2072,重阳,小雪,节日,节日,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
1469,画江湖,彩色雾,动漫,动漫,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
451,一人之下,咒术回战,动漫,动漫,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
1940,晒衣,蒸汽,生活,生活,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
542,拉怪,以卵击石,游戏,,cross_category_low,0-30,5,二者不搭界,
5859,计算,抽象体系,学科,学科,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
4631,礁石,内陆水域,风景,风景,hint_distill_high,55-65,60,hint distill target 60,hint_distill_v25
4106,汇总,上线,工作,工作,hint_distill_mid,35-45,40,hint distill target 40,hint_distill_v25
110,诸葛亮,出师表,人物,,hint_like_high,70-90,95,出师表直接能联想到诸葛亮,
2617,彗星,秦时明月,宇宙,宇宙,hint_distill_low,25-35,30,hint distill target 30,hint_distill_v25
