id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
10777,单机,状态更新,游戏,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
9548,塔防,评弹,游戏,,hard_negative_low,0-9,4,cross_category_negative,auto_semreal_v27
11275,愧疚,策略,情感,,hard_negative_low,7-17,12,cross_category_negative,auto_semreal_v27
1136,土星,面条,宇宙,,hard_negative_low,7-17,12,cross_category_negative,auto_semreal_v27
3380,孙燕姿,英伦,歌手,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
9487,前进,轮岗,动作,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
9014,白狼,祥兆,狼人杀,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
3035,陶瓷,生态,文化,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
11349,日报,审核,工作,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
3397,森林,森林,风景,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
10763,嫦娥,调休,神话,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
5120,狼狈为奸,狼狈为奸,成语,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
10205,白露,进击的巨人,节日,,hard_negative_low,0-9,4,cross_category_negative,auto_semreal_v27
8131,山间,林间,风景,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,auto_semreal_v27
6198,汤圆,交接,美食,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
6900,石桥,山林,风景,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
7250,免税,租车,旅游,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
9724,欣喜,寓意,情感,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
7422,画龙点睛,瞎子点灯,歇后语,,near_synonym_high,70-80,75,reverse_hint_lvl_5,auto_semreal_v27
149,焦虑,激动,感情,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
8513,冲茶,杯中泡,生活,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
2299,泡清洁,丢垃圾,生活,,near_synonym_high,70-80,75,reverse_hint_lvl_5,auto_semreal_v27
3188,狼王,任务,狼人杀,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
4052,拍照,那英,旅游,,hard_negative_low,7-17,12,cross_category_negative,auto_semreal_v27
5257,相柳,喜悦,神话,,hard_negative_low,5-15,10,cross_category_negative,auto_semreal_v27
3517,负薪读书,画饼充饥,典故,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
2355,做实验,操作练习,学习,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
12344,撤除,销假,工作,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
4911,挟天子,吊发提神,典故,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
4715,酸奶,轻食,美食,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
6152,行李,抢券,旅游,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
12068,激动,感动,情感,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
3043,愚者,妖怪,狼人杀,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
6969,圣诞,万物苏,节日,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
2334,稻田,沙漠,风景,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
12744,户外,打野,游戏,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
10811,对接,熬夜赶工,工作,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
9997,登顶,经济,旅游,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
7504,惊险,悬崖,风景,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,auto_semreal_v27
4963,龙猫,机器猫,动漫,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
5181,夜曲,旋律,歌曲,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
9096,泥塑,年画,文化,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
8020,溪流,统计,风景,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
11817,奶香,月饼,美食,,near_synonym_high,70-80,75,reverse_hint_lvl_5,auto_semreal_v27
1605,彩陶,彩陶,文化,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
11461,运动,空间站,生活,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
12090,茶园,水果拼,风景,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
5557,元旦,过年,节日,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
10429,担忧,烦闷,情感,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
3463,虚拟满足,画饼充饥,成语,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
394,农学,农作,学科,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
7849,体面,心里稳,歌曲,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
4770,满足,够了,感情,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
5590,近太阳,星球,宇宙,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
6126,落座,落座,动作,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
8508,拓印,拓印,文化,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
9466,哲学,馒头,学科,,hard_negative_low,0-9,4,cross_category_negative,auto_semreal_v27
6980,大雪,游戏王,节日,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
9120,一箭双雕,画饼充饥,成语,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
10101,草船借箭,雾中取矢,典故,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
3342,韩愈,典籍,人物,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
1545,地球,大尺度,宇宙,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
1058,摇头,颈部动,动作,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
12190,副本,一起开黑,游戏,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
6797,相关,丘比特,狼人杀,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,auto_semreal_v27
2140,会议,落地,工作,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
10628,井然有序,习用语,成语,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
1159,转机,愤怒,旅游,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
5978,碰撞史,暴击,游戏,,near_synonym_high,70-80,75,reverse_hint_lvl_5,auto_semreal_v27
1976,米饭卷,披萨,美食,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
4750,许嵩,张杰,歌手,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
3398,铁杵磨针,相声,歇后语,,hard_negative_low,0-9,4,cross_category_negative,auto_semreal_v27
3186,弯腰,陨石,动作,,hard_negative_low,7-17,12,cross_category_negative,auto_semreal_v27
10497,张信哲,女歌手,歌手,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
7510,委屈,表示赞,感情,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
514,热切,盼望,情感,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
