id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,seitai,点头,神话,,cross_category_low,1-11,6,二者不搭界,
2,一人之下,咒术回战,动漫,,same_category_mid,45-55,50,关联度中等,
3,一人之下,白蛇缘起,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1
4,一人之下,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1
5,一人之下,青之驱魔师,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
6,一拳超人,喜羊羊,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
7,一拳超人,守株待兔,动漫,,cross_category_low,2-12,7,二者不搭界,
8,一拳超人,虹猫蓝兔,动漫,动漫,near_synonym_high,77-87,82,failed_top1_confusion,suggested_relabel_ab_v1
9,一拳超人,龙猫,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1
10,七夕,软糯,节日,,nonsense_low,0-7,2,毫无关联,
11,三令五申,反复说明,典故,,hint_like_high,75-85,80,关联度较高,
12,三令五申,超新星,典故,,cross_category_low,0-7,2,二者不搭界,
13,三明治,卧薪尝胆,美食,,cross_category_low,2-12,7,二者不搭界,
14,三顾茅庐,反复邀请,典故,,hint_like_high,75-85,80,关联度较高,
15,三顾茅庐,求才若渴,典故,,hint_like_high,65-75,70,字面意思接近,
16,上网,信号满,生活,,hint_like_high,65-75,70,信号满容易联想到手机或者WIFI,
17,上课,不良人,学习,,cross_category_low,2-12,7,二者不搭界,
18,下线,关闭功能,工作,,hint_like_high,15-25,20,下线包含关闭的意思但关联度确实不高,
19,不良人,刀剑神域,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank2,hard_negative_miner_v1
20,不良人,白蛇缘起,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1
21,不良人,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1
22,丘比特,瀑布,狼人杀,,cross_category_low,2-12,7,二者不搭界,
23,东京喰种,白蛇缘起,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1
24,东京喰种,罗小黑战记,动漫,动漫,hard_negative_low,10-20,15,failed_top1_confusion,hard_negative_miner_v1
25,东京喰种,青之驱魔师,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1
26,丢垃圾,搬家,生活,,same_category_mid,15-25,20,语义不同,
27,丢垃圾,洗漱,生活,,same_category_mid,15-25,20,语义不同,
28,丢垃圾,通话,生活,,same_category_mid,5-15,10,猜不到的,
29,云雾,茶园,风景,,same_category_mid,15-25,20,关联度低,
30,井水不犯,传递流程,歇后语,,nonsense_low,0-7,2,毫无关联,
31,井水不犯,秀才遇鬼,歇后语,,same_category_mid,25-35,30,都是歇后语，但关联度不高,
32,井然有序,叶公好龙,成语,,same_category_mid,15-25,20,二者关联度底,
33,亡羊补牢,上课,成语,,cross_category_low,2-12,7,二者不搭界,
34,交付,评审,工作,,same_category_mid,35-45,40,范围接近，语义不同,
35,交接,自检,工作,,same_category_mid,15-25,20,语义不同,
36,京剧,国粹舞台,文化,,hint_like_high,75-85,80,关联度较高,
37,京剧,风之谷,文化,,cross_category_low,2-12,7,二者不搭界,
38,代数,祖冲之,学科,,cross_category_low,2-12,7,二者不搭界,
