id,word_a,word_b,category_a,category_b,relation_tag,expected_range,score_0_100,reason,reviewer
1,材料,震惊,学科,情感,cross_category,0-40,4,毫不相关最高10,
2,轻松,小溪,感情,风景,cross_category,0-40,15,小溪的风景确实会产生轻松的感觉20左右,
3,张学友,狼狈为奸,歌手,成语,cross_category,0-40,5,二者毫无关联,
4,落地,柳宗元,工作,人物,cross_category,0-40,5,二者毫无关联,
5,哆啦A梦,周深,动漫,歌手,cross_category,0-40,7,二者毫无关联,
6,请假,梯田,工作,风景,cross_category,0-40,10,请假和工作是两个不同的概念,
7,激动,走位,感情,游戏,cross_category,0-40,10,二者毫无关联,
8,女娲,柳宗元,神话,人物,cross_category,0-40,15,虽都属于人物,但含义不同,
9,处暑,地理,节日,学科,cross_category,0-40,5,处暑是一个节日,
10,以卵击石,饺子,成语,美食,cross_category,0-40,5,二者毫无关联,
11,猎魔人,音乐,狼人杀,学科,cross_category,0-40,8,二者毫无关联,
12,豆花,白居易,美食,人物,cross_category,0-40,7,二者毫无关联,
13,约法三章,觅食,典故,旅游,cross_category,0-40,10,二者毫无关联,
14,老马识途,立秋,歇后语,节日,cross_category,0-40,3,没有关联,
15,神农,向导,神话,旅游,cross_category,0-40,20,旅游可以去往神农架,但二者关联度不高,
16,组队,抬手,游戏,动作,cross_category,0-40,5,二者毫无关联,
17,石桥,滑行,风景,动作,cross_category,0-40,5,二者毫无关联,
18,悬梁刺股,欣喜,典故,情感,cross_category,0-40,5,二者毫无关联,
19,立秋,方案,节日,工作,cross_category,0-40,5,二者毫无关联,
20,画龙点睛,朗读,成语,学习,cross_category,0-40,5,二者毫无关联,
21,提问,摄梦人,学习,狼人杀,cross_category,0-40,5,二者毫无关联,
22,医学,连麦,学科,游戏,cross_category,0-40,5,二者毫无关联,
23,天体,狼美人,学科,狼人杀,cross_category,0-40,5,二者毫无关联,
24,观光,守护神,旅游,狼人杀,cross_category,0-40,5,二者毫无关联,
25,停下,写论文,动作,学习,cross_category,0-40,5,二者毫无关联,
26,对牛弹琴,值机,成语,旅游,cross_category,0-40,5,二者毫无关联,
27,露营,理发,旅游,生活,cross_category,0-40,5,二者毫无关联,
28,推挡,哆啦A梦,动作,动漫,cross_category,0-40,5,二者毫无关联,
29,调休,薛之谦,工作,歌手,cross_category,0-40,5,二者毫无关联,
30,面条,寒露,美食,节日,cross_category,0-40,5,二者毫无关联,
31,老马识途,晚霞,歇后语,风景,cross_category,0-40,5,二者毫无关联,
32,订房,腊八,旅游,节日,cross_category,0-40,5,二者毫无关联,
33,做家务,那英,生活,歌手,cross_category,0-40,5,二者毫无关联,
34,落地,订房,工作,旅游,cross_category,0-40,5,二者毫无关联,
35,星游记,月饼,动漫,美食,cross_category,0-40,5,二者毫无关联,
36,鬼灭之刃,讲解,动漫,学习,cross_category,0-40,5,二者毫无关联,
37,晒衣,灌篮高手,生活,动漫,cross_category,0-40,5,二者毫无关联,
38,沙漠,黄鼠狼拜年,风景,歇后语,cross_category,0-40,5,二者毫无关联,
39,溪流,奶茶,风景,美食,cross_category,0-40,5,二者毫无关联,
40,炸鸡,工程,美食,学科,cross_category,0-40,5,二者毫无关联,
41,塔防,望梅止渴,游戏,典故,cross_category,0-40,5,二者毫无关联,
42,海阔天空,迷茫,歌曲,感情,cross_category,0-40,5,二者毫无关联,
43,画地为牢,无奈,成语,情感,cross_category,0-40,25,画地为牢会产生无奈的感觉，但关联度不高,
44,上线,黔驴技穷,工作,典故,cross_category,0-40,5,二者毫无关联,
45,冷漠,语文,感情,学科,cross_category,0-40,5,二者毫无关联,
46,狼狈为奸,对齐,成语,工作,cross_category,0-40,5,二者毫无关联,
47,圣斗士,统计,动漫,学科,cross_category,0-40,5,二者毫无关联,
48,地理,预读,学科,学习,cross_category,0-40,5,二者毫无关联,
49,雪峰,园艺,风景,学科,cross_category,0-40,5,二者毫无关联,
50,黄鼠狼拜年,画饼充饥,歇后语,成语,cross_category,0-40,5,二者毫无关联,
51,负荆请罪,抽卡,典故,游戏,cross_category,0-40,5,二者毫无关联,
52,刷本,俯冲,游戏,动作,cross_category,0-40,5,二者毫无关联,
53,白狼,邓紫棋,狼人杀,歌手,cross_category,0-40,5,二者毫无关联,
54,恒星,拍手,宇宙,动作,cross_category,0-40,5,二者毫无关联,
55,处暑,竹竿进城,节日,歇后语,cross_category,0-40,5,二者毫无关联,
56,白蛇缘起,龙猫,动漫,动漫,same_category,60-70,50,二者都为动漫,但关联度不高,
57,奔跑,村民,动作,狼人杀,cross_category,0-40,5,二者毫无关联,
58,曹操,后来,人物,歌曲,cross_category,0-40,5,二者毫无关联,
59,居安思危,入职,典故,工作,cross_category,0-40,5,二者毫无关联,
60,青花瓷,庙会,歌曲,文化,cross_category,0-40,5,二者毫无关联,
61,披萨,雨水,美食,节日,cross_category,0-40,5,二者毫无关联,
62,答辩,剪纸,学习,文化,cross_category,0-40,5,二者毫无关联,
63,读书,蜻蜓点水,生活,歇后语,cross_category,0-40,5,二者毫无关联,
64,疑惑,瞎子戴眼镜,情感,歇后语,cross_category,0-40,5,二者毫无关联,
65,红豆,徒步,歌曲,旅游,cross_category,0-40,5,二者毫无关联,
66,羡慕,社火,感情,文化,cross_category,0-40,5,二者毫无关联,
67,排查,疑惑,工作,情感,cross_category,0-40,5,二者毫无关联,
68,复活,铃芽之旅,游戏,动漫,cross_category,0-40,5,二者毫无关联,
69,螺蛳粉,刷本,美食,游戏,cross_category,0-40,5,二者毫无关联,
70,纸上谈兵,写作,典故,学习,cross_category,0-40,5,二者毫无关联,
71,毛不易,言叶之庭,歌手,动漫,cross_category,0-40,5,二者毫无关联,
72,罗小黑战记,龙舟,动漫,文化,cross_category,0-40,5,二者毫无关联,
73,开荒,屈原,游戏,人物,cross_category,0-40,5,二者毫无关联,
74,排位,白蛇缘起,游戏,动漫,cross_category,0-40,5,二者毫无关联,
75,伏羲,体面,神话,歌曲,cross_category,0-40,5,二者毫无关联,
76,拿鸡毛,护肤,歇后语,生活,cross_category,0-40,5,二者毫无关联,
77,愤懑,蹒跚,情感,动作,cross_category,0-40,5,二者毫无关联,
78,貔貅,租车,神话,旅游,cross_category,0-40,5,二者毫无关联,
79,祖冲之,招聘,人物,工作,cross_category,0-40,5,二者毫无关联,
80,安心,逻辑,情感,学科,cross_category,0-40,5,二者毫无关联,
81,纸里包火,青花瓷,歇后语,歌曲,cross_category,0-40,5,二者毫无关联,
82,立秋,女巫,节日,狼人杀,cross_category,0-40,5,二者毫无关联,
83,七夕,篆刻,节日,文化,cross_category,0-40,5,二者毫无关联,
84,停下,名侦探柯南,动作,动漫,cross_category,0-40,5,二者毫无关联,
85,交接,土星,工作,宇宙,cross_category,0-40,5,二者毫无关联,
86,林间,理财,风景,生活,cross_category,0-40,5,二者毫无关联,
87,青花瓷,哪吒,歌曲,神话,cross_category,0-40,5,二者毫无关联,
88,坐船,护理,旅游,学科,cross_category,0-40,5,二者毫无关联,
89,父亲节,鬼灭之刃,节日,动漫,cross_category,0-40,5,二者毫无关联,
90,未闻花名,做家务,动漫,生活,cross_category,0-40,5,二者毫无关联,
91,冷淡,掩耳盗铃,情感,成语,cross_category,0-40,5,二者毫无关联,
92,抬手,俯卧,动作,动作,same_category,60-70,50,二者都为动作,但关联度不高,
93,毛遂自荐,红移,典故,宇宙,cross_category,0-40,5,二者毫无关联,
94,冷淡,借刀杀人,情感,典故,cross_category,0-40,5,二者毫无关联,
95,程门立雪,踮脚,典故,动作,cross_category,0-40,5,二者毫无关联,
96,烧烤,退避三舍,美食,典故,cross_category,0-40,5,二者毫无关联,
97,粽子,拿鸡毛,美食,歇后语,cross_category,0-40,5,二者毫无关联,
98,转机,玄鸟,旅游,神话,cross_category,0-40,5,二者毫无关联,
99,烧饼,教程,美食,游戏,cross_category,0-40,5,二者毫无关联,
100,连击,龙猫,游戏,动漫,cross_category,0-40,5,二者毫无关联,
101,语文,卧冰求鲤,学科,典故,cross_category,0-40,5,二者毫无关联,
102,气候,挥拳,学科,动作,cross_category,0-40,5,二者毫无关联,
103,相柳,泡汤,神话,旅游,cross_category,0-40,5,二者毫无关联,
104,花鼓,悬梁刺股,文化,典故,cross_category,0-40,5,二者毫无关联,
105,天文,哪吒,学科,神话,cross_category,0-40,5,二者毫无关联,
106,感动,取件,情感,生活,cross_category,0-40,5,二者毫无关联,
107,京剧,惆怅,文化,感情,cross_category,0-40,5,二者毫无关联,
108,李清照,日出,人物,风景,cross_category,0-40,5,二者毫无关联,
109,恒星,司马光,宇宙,人物,cross_category,0-40,5,二者毫无关联,
110,停下,麒麟,动作,神话,cross_category,0-40,5,二者毫无关联,
111,村民,法学,狼人杀,学科,cross_category,0-40,5,二者毫无关联,
112,升职,一字千金,工作,典故,cross_category,0-40,5,二者毫无关联,
113,鬼灭之刃,面条,动漫,美食,cross_category,0-40,5,二者毫无关联,
114,联机,闯关,游戏,游戏,same_category,60-70,50,二者都为游戏,但关联度不高,
115,按部就班,疲惫,成语,感情,cross_category,0-40,5,二者毫无关联,
116,平凡之路,教育,歌曲,学科,cross_category,0-40,5,二者毫无关联,
117,皮肤,夜游,游戏,旅游,cross_category,0-40,5,二者毫无关联,
