id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,猫咪,猫,,,alias_synonym_high,85-95,90,人工锚点覆盖：昵称与本词,manual_gold_v26
2,猫,猫咪,,,alias_synonym_high,85-95,90,人工锚点覆盖：昵称与本词（反向）,manual_gold_v26
3,猫咪,刘备,,,hard_negative_low,5-15,10,人工锚点覆盖：无关对照,manual_gold_v26
4,刘备,猫咪,,,hard_negative_low,5-15,10,人工锚点覆盖：无关对照（反向）,manual_gold_v26
5,诸葛亮,孔明,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名,manual_gold_v26
6,孔明,诸葛亮,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名（反向）,manual_gold_v26
7,孙悟空,齐天大圣,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名,manual_gold_v26
8,齐天大圣,孙悟空,,,alias_synonym_high,80-90,85,人工锚点覆盖：同义别名（反向）,manual_gold_v26
9,医生,大夫,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词,manual_gold_v26
10,大夫,医生,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词（反向）,manual_gold_v26
11,高兴,开心,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词,manual_gold_v26
12,开心,高兴,,,near_synonym_high,75-85,80,人工锚点覆盖：近义词（反向）,manual_gold_v26
13,一鸣惊人,刮目相看,,,related_low,41-51,46,人工锚点覆盖：语义相关（成语语境）,manual_gold_v26
14,刮目相看,一鸣惊人,,,related_low,41-51,46,人工锚点覆盖：语义相关（反向）,manual_gold_v26
15,一鸣惊人,惊讶,,,related_low,27-37,32,人工锚点覆盖：近义语义（弱到中关联）,manual_gold_v26
16,惊讶,一鸣惊人,,,related_low,27-37,32,人工锚点覆盖：近义语义（弱到中关联，反向）,manual_gold_v26
17,一鸣惊人,厉害,,,related_low,29-39,34,人工锚点覆盖：近义语义（口语表达）,manual_gold_v26
18,厉害,一鸣惊人,,,related_low,29-39,34,人工锚点覆盖：近义语义（口语表达，反向）,manual_gold_v26
19,诸葛亮,卧龙,,,alias_synonym_high,80-90,85,人工锚点覆盖：历史别名,manual_gold_v26
20,卧龙,诸葛亮,,,alias_synonym_high,80-90,85,人工锚点覆盖：历史别名（反向）,manual_gold_v26
21,关羽,武圣,,,near_synonym_high,77-87,82,人工锚点覆盖：历史称号,manual_gold_v26
22,武圣,关羽,,,near_synonym_high,77-87,82,人工锚点覆盖：历史称号（反向）,manual_gold_v26
23,关羽,刮骨疗毒,,,related_mid,55-65,60,人工锚点覆盖：历史事件关联,manual_gold_v26
24,刮骨疗毒,关羽,,,related_mid,55-65,60,人工锚点覆盖：历史事件关联（反向）,manual_gold_v26
25,刮骨疗毒,华佗,,,related_mid,57-67,62,人工锚点覆盖：历史事件与人物,manual_gold_v26
26,华佗,刮骨疗毒,,,related_mid,57-67,62,人工锚点覆盖：历史事件与人物（反向）,manual_gold_v26
27,猫咪,你个der,,,hard_negative_low,5-15,10,人工锚点覆盖：完全无关,manual_gold_v26
28,你个der,猫咪,,,hard_negative_low,5-15,10,人工锚点覆盖：完全无关（反向）,manual_gold_v26
29,沙盒,沙盒,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
30,烧烤,烧烤,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
31,寿司,寿司,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
32,披萨,披萨,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
33,火影,火影,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
34,海贼王,海贼王,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
35,死神,死神,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
36,龙珠,龙珠,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
37,犬夜叉,犬夜叉,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
38,名侦探柯南,名侦探柯南,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
39,灌篮高手,灌篮高手,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
40,樱桃小丸子,樱桃小丸子,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
41,蜡笔小新,蜡笔小新,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
42,哆啦A梦,哆啦A梦,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
43,数码宝贝,数码宝贝,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
44,圣斗士,圣斗士,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
45,美少女战士,美少女战士,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
46,游戏王,游戏王,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
47,幽游白书,幽游白书,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
48,银魂,银魂,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
49,妖精尾巴,妖精尾巴,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
50,刀剑神域,刀剑神域,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
51,一拳超人,一拳超人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
52,东京喰种,东京喰种,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
53,全职猎人,全职猎人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
54,黑执事,黑执事,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
55,进击的巨人,进击的巨人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
56,青之驱魔师,青之驱魔师,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
57,鬼灭之刃,鬼灭之刃,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
58,咒术回战,咒术回战,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
59,排球少年,排球少年,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
60,网球王子,网球王子,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
61,夏目友人帐,夏目友人帐,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
62,命运之夜,命运之夜,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
63,未闻花名,未闻花名,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
64,言叶之庭,言叶之庭,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
65,千与千寻,千与千寻,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
66,龙猫,龙猫,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
67,天空之城,天空之城,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
68,红猪,红猪,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
69,风之谷,风之谷,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
70,魔女宅急便,魔女宅急便,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
71,你的名字,你的名字,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
72,天气之子,天气之子,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
73,铃芽之旅,铃芽之旅,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
74,狐妖小红娘,狐妖小红娘,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
75,罗小黑战记,罗小黑战记,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
76,刺客伍六七,刺客伍六七,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
77,大鱼海棠,大鱼海棠,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
78,白蛇缘起,白蛇缘起,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
79,斗罗大陆,斗罗大陆,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
80,斗破苍穹,斗破苍穹,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
81,一人之下,一人之下,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
82,全职高手,全职高手,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
83,镇魂街,镇魂街,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
84,不良人,不良人,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
85,星游记,星游记,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
86,灵笼,灵笼,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
87,喜羊羊,喜羊羊,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
88,熊出没,熊出没,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
89,秦时明月,秦时明月,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
90,虹猫蓝兔,虹猫蓝兔,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
91,画江湖,画江湖,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
92,面条,面条,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
93,粥品,粥品,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
94,汉堡,汉堡,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
95,炸鸡,炸鸡,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
96,麻辣烫,麻辣烫,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
97,牛排,牛排,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
98,沙拉,沙拉,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
99,酸奶,酸奶,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
100,豆腐,豆腐,,,alias_synonym_high,95-100,100,从puzzles答案补充：answer自匹配锚点,manual_gold_v26
101,星球,不知道,,,nonsense,0-10,5,完全无关却被打到高分，不符合自然语义,error_review_v1_repair
102,星球,数学,,,abstract_confusion,0-10,8,抽象词误碰同样抽象的学科词，但语义核心不接近,error_review_v1_repair
103,语文,地质,,,same_category_but_far,26-40,28,都属于学科但语义不近，只能算同类远相关,error_review_v1_repair
104,宇宙,数学,,,abstract_confusion,11-25,12,宇宙与数学无直接语义关联，模型抽象共现误判,error_review_v1_repair
105,宇宙,哲学,,,abstract_confusion,11-25,18,宇宙与哲学均高度抽象，模型受共现影响高估,error_review_v1_repair
106,宇宙,时间,,,abstract_confusion,26-40,35,时间是宇宙属性之一，有合理关联但非同义,error_review_v1_repair
107,命运,因果,,,abstract_confusion,41-55,42,因果和命运有哲学关联，但语义核心不同,error_review_v1_repair
108,灵魂,思想,,,abstract_confusion,41-55,55,两者都是抽象内心概念，有合理相似性但非同义,error_review_v1_repair
109,快乐,悲伤,,,antonym_or_conflict,0-10,10,明确反义词，语义完全相反，不应超过12,error_review_v1_repair
110,白天,黑夜,,,antonym_or_conflict,11-25,12,时间反义词，同类但方向相反,error_review_v1_repair
111,胜利,失败,,,antonym_or_conflict,11-25,12,结果反义词，语义完全对立,error_review_v1_repair
112,古代,现代,,,antonym_or_conflict,11-25,12,时间段反义词,error_review_v1_repair
113,永恒,瞬间,,,antonym_or_conflict,11-25,12,持续性反义词,error_review_v1_repair
114,虚无,存在,,,antonym_or_conflict,11-25,12,哲学反义词，不应高分,error_review_v1_repair
115,智慧,愚昧,,,antonym_or_conflict,0-10,10,智力反义词,error_review_v1_repair
116,医生,老师,,,same_category_but_far,11-25,22,同为职业，但功能和语义核心完全不同,error_review_v1_repair
117,老虎,大象,,,same_category_but_far,11-25,22,同为大型动物，语义核心明显不同,error_review_v1_repair
118,北京,上海,,,same_category_but_far,26-40,28,同为中国城市，是两个不同地名,error_review_v1_repair
119,篮球,足球,,,same_category_but_far,26-40,28,同为球类运动，但规则和特征不同,error_review_v1_repair
120,钢琴,小提琴,,,same_category_but_far,26-40,30,同为乐器，外形和发声机制不同,error_review_v1_repair
121,月亮,太阳,,,same_category_but_far,11-25,25,同为天体，是完全不同的对象,error_review_v1_repair
122,猫,狗,,,same_category_but_far,26-40,28,同为常见宠物，语义核心不同,error_review_v1_repair
123,海浪,化学,,,cross_domain_negative,0-10,8,自然现象与学科，无语义关联,error_review_v1_repair
124,行李,历史,,,cross_domain_negative,0-10,8,实物与学科，无语义关联,error_review_v1_repair
125,乒乓球,哲学,,,cross_domain_negative,0-10,8,运动与学科，无语义关联,error_review_v1_repair
126,礼物,数学,,,cross_domain_negative,0-10,8,具体物品与学科，无语义关联,error_review_v1_repair
127,山峰,文学,,,cross_domain_negative,0-10,8,地理与学科，无语义关联,error_review_v1_repair
128,雨伞,下雨,,,collocation_not_equivalent,26-40,38,下雨是使用雨伞的场景触发条件，不是同义词,error_review_v1_repair
129,图书馆,安静,,,hint_like,26-40,32,安静是图书馆的特征提示词，不是同义词,error_review_v1_repair
130,医院,白大褂,,,hint_like,26-40,38,白大褂是医院场景线索，不等于医院本身,error_review_v1_repair
131,手机,手机壳,,,collocation_not_equivalent,26-40,28,手机壳是配件，不是手机的近义词,error_review_v1_repair
132,眼镜,近视,,,collocation_not_equivalent,26-40,35,近视是配眼镜的原因，不是同义词,error_review_v1_repair
133,铅笔,文具盒,,,collocation_not_equivalent,26-40,30,文具盒是铅笔的存放容器，不是同义词,error_review_v1_repair
134,汽车,轿车,,,near_synonym,71-85,72,轿车是汽车的主要类型，语义非常接近，应在70以上,error_review_v1_repair
135,电视,电视机,,,alias,86-95,88,电视和电视机口语完全互换，应近90,error_review_v1_repair
