id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,测绘,测绘,学科,,same_answer_exact,95-100,100,完全一样,
2,孤寂,孤寂,情感,,same_answer_exact,95-100,100,完全一样,
3,委屈,委屈,感情,,same_answer_exact,95-100,100,完全一样,
4,湖畔,湖畔,风景,,same_answer_exact,95-100,100,完全一样,
5,陈奕迅,陈奕迅,歌手,,same_answer_exact,95-100,100,完全一样,
6,挑灯夜战,挑灯夜战,成语,,same_answer_exact,95-100,100,完全一样,
7,里程碑,里程碑,工作,,same_answer_exact,95-100,100,完全一样,
8,王安石,王安石,人物,,same_answer_exact,95-100,100,完全一样,
9,数码宝贝,数码宝贝,动漫,,same_answer_exact,95-100,100,完全一样,
10,那英,那英,歌手,,same_answer_exact,95-100,100,完全一样,
11,销假,销假,工作,,same_answer_exact,95-100,100,完全一样,
12,日出,日出,风景,,same_answer_exact,95-100,100,完全一样,
13,释然,释然,感情,,same_answer_exact,95-100,100,完全一样,
14,探图,探图,游戏,,same_answer_exact,95-100,100,完全一样,
15,盘古,盘古,神话,,same_answer_exact,95-100,100,完全一样,
16,白露,白露,节日,,same_answer_exact,95-100,100,完全一样,
17,化学,化学,学科,,same_answer_exact,95-100,100,完全一样,
18,趁热打铁,趁热打铁,成语,,same_answer_exact,95-100,100,完全一样,
19,饺子,饺子,美食,,same_answer_exact,95-100,100,完全一样,
20,守夜人,守夜人,狼人杀,,same_answer_exact,95-100,100,完全一样,
21,法学,法学,学科,,same_answer_exact,95-100,100,完全一样,
22,泡芙,泡芙,美食,,same_answer_exact,95-100,100,完全一样,
23,柳宗元,柳宗元,人物,,same_answer_exact,95-100,100,完全一样,
24,悬梁刺股,悬梁刺股,典故,,same_answer_exact,95-100,100,完全一样,
25,集章,集章,旅游,,same_answer_exact,95-100,100,完全一样,
26,狗咬吕洞宾,狗咬吕洞宾,歇后语,,same_answer_exact,95-100,100,完全一样,
27,处暑,处暑,节日,,same_answer_exact,95-100,100,完全一样,
28,哪吒,哪吒,神话,,same_answer_exact,95-100,100,完全一样,
29,露台,露台,旅游,,same_answer_exact,95-100,100,完全一样,
30,连麦,连麦,游戏,,same_answer_exact,95-100,100,完全一样,
31,挥拳,挥拳,动作,,same_answer_exact,95-100,100,完全一样,
32,小溪,小溪,风景,,same_answer_exact,95-100,100,完全一样,
33,弹跳,弹跳,动作,,same_answer_exact,95-100,100,完全一样,
34,凿壁借光,凿壁借光,典故,,same_answer_exact,95-100,100,完全一样,
35,感动,感动,情感,,same_answer_exact,95-100,100,完全一样,
36,需求,需求,工作,,same_answer_exact,95-100,100,完全一样,
37,按兵不动,按兵不动,成语,,same_answer_exact,95-100,100,完全一样,
38,翻译,翻译,学习,,same_answer_exact,95-100,100,完全一样,
39,整理,整理,学习,,same_answer_exact,95-100,100,完全一样,
40,守墓人,守墓人,狼人杀,,same_answer_exact,95-100,100,完全一样,
41,心理,心理,学科,,same_answer_exact,95-100,100,完全一样,
42,皮肤,皮肤,游戏,,same_answer_exact,95-100,100,完全一样,
43,陨石,陨石,宇宙,,same_answer_exact,95-100,100,完全一样,
44,石像鬼,石像鬼,狼人杀,,same_answer_exact,95-100,100,完全一样,
45,拍照,拍照,旅游,,same_answer_exact,95-100,100,完全一样,
46,先知,先知,狼人杀,,same_answer_exact,95-100,100,完全一样,
47,迈步,迈步,动作,,same_answer_exact,95-100,100,完全一样,
48,做作业,做作业,学习,,same_answer_exact,95-100,100,完全一样,
49,刻舟求剑,刻舟求剑,歇后语,,same_answer_exact,95-100,100,完全一样,
50,安检,安检,旅游,,same_answer_exact,95-100,100,完全一样,
51,邮轮,邮轮,旅游,,same_answer_exact,95-100,100,完全一样,
52,淋浴,淋浴,生活,,same_answer_exact,95-100,100,完全一样,
53,抬头,抬头,动作,,same_answer_exact,95-100,100,完全一样,
54,徒步,徒步,旅游,,same_answer_exact,95-100,100,完全一样,
55,张学友,张学友,歌手,,same_answer_exact,95-100,100,完全一样,
56,粥品,粥品,美食,,same_answer_exact,95-100,100,完全一样,
57,霜降,霜降,节日,,same_answer_exact,95-100,100,完全一样,
58,极光,极光,风景,,same_answer_exact,95-100,100,完全一样,
59,出境,出境,旅游,,same_answer_exact,95-100,100,完全一样,
60,小年,小年,节日,,same_answer_exact,95-100,100,完全一样,
