id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
1,画江湖,狐妖小红娘,动漫,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
2,独白,言叶之庭,动漫,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,auto_semreal_v27
3,感动,守株待兔,情感,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
4,孙燕姿,女歌手,歌手,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
5,龙珠,滑行,动漫,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
6,楚辞,李白,人物,,near_synonym_high,70-80,75,reverse_hint_lvl_5,auto_semreal_v27
7,江湖,不良人,动漫,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,auto_semreal_v27
8,催办,任务,工作,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
9,立冬,气温降,节日,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
10,测验,闯关,学习,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
11,村民,烧烤,狼人杀,,hard_negative_low,7-17,12,cross_category_negative,auto_semreal_v27
12,推挡,净角,动作,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
13,国庆,中秋,节日,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
14,对牛弹琴,雪中送炭,成语,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
15,秧苗长,小年,节日,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
16,旋转,合成,动作,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
17,千与千寻,相柳,动漫,,hard_negative_low,5-15,10,cross_category_negative,auto_semreal_v27
18,做实验,做实验,学习,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
19,画饼充饥,忍寒寻鱼,成语,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
20,天体,影子,学科,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
21,美术,艺术,学科,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
22,中秋,背水一战,节日,,hard_negative_low,0-9,4,cross_category_negative,auto_semreal_v27
23,摇头,老鼠过街,动作,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
24,腾挪,失落,动作,,hard_negative_low,5-15,10,cross_category_negative,auto_semreal_v27
25,登机,程门立雪,旅游,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
26,午休,外星人,生活,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
27,太阳系,测绘,宇宙,,hard_negative_low,5-15,10,cross_category_negative,auto_semreal_v27
28,三明治,温馨,美食,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
29,预备役,预备役,狼人杀,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
30,潜伏,潜伏,动作,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
31,气味冲,臭豆腐,美食,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,auto_semreal_v27
32,馒头,泡芙,美食,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
33,孔子,班固,人物,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
34,担忧,伤心,情感,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
35,麻雀虽小,末尾一笔,歇后语,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
36,山谷,山谷,风景,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
37,翻滚,摇晃走,动作,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
38,端午,端午,节日,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
39,喜羊羊,花灯,动漫,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
40,复活,抢首杀,游戏,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
41,完璧归赵,两全其美,典故,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
42,挥拳,复活,动作,,hard_negative_low,5-15,10,cross_category_negative,auto_semreal_v27
43,火箭,航天器,宇宙,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
44,貔貅,貔貅,神话,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
45,轨道,天线,宇宙,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
46,抬头,对牛弹琴,动作,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
47,蒲松龄,香草美人,人物,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
48,排查,对齐,工作,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
49,楹联,顺畅说出,文化,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
50,出境,里程碑,旅游,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
51,蒲松龄,夸父,人物,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
52,跟讲,听课,学习,,alias_synonym_high,90-100,95,reverse_hint_lvl_7,auto_semreal_v27
53,讲解,写下评语,学习,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
54,离职,任务,工作,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
55,心里苦,委屈,感情,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
56,祭司,用途,狼人杀,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
57,仿真练习,模拟,学习,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
58,画江湖,画江湖,动漫,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
59,复活节,西王母,节日,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
60,小行星,海洋,宇宙,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
61,灌篮高手,食尸者,动漫,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
62,汇报,做家务,工作,,hard_negative_low,0-9,4,cross_category_negative,auto_semreal_v27
63,礁石,深沟狭长,风景,,related_mid,45-55,50,puzzle_hint_lvl_3,auto_semreal_v27
64,无奈,年画,情感,,hard_negative_low,3-13,8,cross_category_negative,auto_semreal_v27
65,瓜田李下,最好避开,歇后语,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
66,抬手,仰脸,动作,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
67,网购,星游记,生活,,hard_negative_low,5-15,10,cross_category_negative,auto_semreal_v27
68,司马迁,司马迁,人物,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
69,自失所长,破釜沉舟,典故,,near_synonym_high,70-80,75,reverse_hint_lvl_5,auto_semreal_v27
70,船到桥头,底部河道,歇后语,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
71,平和,情绪低,感情,,related_low,35-45,40,puzzle_hint_lvl_2,auto_semreal_v27
72,墙头草,鸡犬升天,歇后语,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
73,尴尬,羞怯,情感,,alias_synonym_high,80-90,85,reverse_hint_lvl_6,auto_semreal_v27
74,林黛玉,时代背景,人物,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
75,图穷匕见,图穷匕见,典故,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
76,杯水车薪,杯水车薪,成语,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
77,俯卧,执行,动作,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
78,月食,空荡,宇宙,,related_mid,55-65,60,puzzle_hint_lvl_4,auto_semreal_v27
79,欣赏,看开,情感,,related_low,25-35,30,puzzle_hint_lvl_1,auto_semreal_v27
80,陶瓷,白胎釉面,文化,,alias_synonym_high,85-95,90,puzzle_hint_lvl_7,auto_semreal_v27
81,小葱拌豆腐,小葱拌豆腐,歇后语,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
82,读书,朗读,生活,,near_synonym_high,65-75,70,puzzle_hint_lvl_5,auto_semreal_v27
83,森林,演示,风景,,hard_negative_low,1-11,6,cross_category_negative,auto_semreal_v27
84,晚霞,晚霞,风景,,alias_synonym_high,93-100,98,self anchor,auto_semreal_v27
85,预言家,带队,狼人杀,,near_synonym_high,75-85,80,puzzle_hint_lvl_6,auto_semreal_v27
